Time(s),Shoulder_Flexion_Deg,Shoulder_Abduction_Deg,Elbow_Flexion_Deg,Elbow_Pronosupination_Deg,Wrist_Flexion_Deg
0.000,16.30,7.31,76.89,1.06,-18.61
0.014,16.31,7.30,76.91,1.11,-18.60
0.055,16.32,7.30,76.88,1.12,-18.59
0.104,16.32,7.30,76.87,1.12,-18.59
0.125,16.31,7.30,76.87,1.02,-18.63
0.165,16.33,7.30,76.88,1.07,-18.65
0.217,16.33,7.30,76.86,1.07,-18.65
0.232,16.31,7.29,76.87,0.94,-18.70
0.268,16.31,7.29,76.89,0.98,-18.70
0.309,16.31,7.29,76.89,0.98,-18.70
0.324,16.33,7.30,76.91,0.99,-18.70
0.377,16.33,7.30,76.91,1.02,-18.70
0.396,16.33,7.29,76.93,1.02,-18.67
0.431,16.33,7.29,76.91,1.03,-18.68
0.464,16.34,7.30,76.92,1.04,-18.68
0.492,16.34,7.31,76.89,1.02,-18.66
0.536,16.34,7.31,76.90,1.02,-18.66
0.548,16.33,7.31,76.90,1.06,-18.65
0.594,16.33,7.31,76.91,1.06,-18.65
0.614,16.33,7.31,76.92,1.07,-18.64
0.660,16.35,7.29,76.93,1.15,-18.64
0.705,16.35,7.29,76.91,1.14,-18.64
0.715,16.38,7.28,76.96,1.18,-18.67
0.766,16.38,7.28,76.93,1.16,-18.67
0.780,16.42,7.31,76.98,1.16,-18.68
0.832,16.47,7.36,77.03,1.16,-18.66
0.877,16.50,7.44,77.09,1.19,-18.67
0.930,16.50,7.44,77.10,1.25,-18.67
0.944,16.48,7.50,77.06,1.22,-18.65
0.990,16.46,7.53,77.09,1.23,-18.65
1.026,16.46,7.53,77.16,1.27,-18.67
1.041,16.46,7.53,77.17,1.30,-18.74
1.083,16.46,7.53,77.17,1.30,-18.74
1.094,16.46,7.51,77.18,1.38,-18.75
1.144,16.46,7.51,77.17,1.38,-18.75
1.161,16.46,7.52,77.19,1.39,-18.80
1.211,16.46,7.51,77.21,1.38,-18.80
1.246,16.46,7.51,77.17,1.60,-18.84
1.258,16.46,7.51,77.19,1.71,-18.87
1.312,16.46,7.51,77.19,1.72,-18.87
1.324,16.46,7.50,77.18,1.87,-18.91
1.374,16.46,7.50,77.18,1.86,-18.91
1.390,16.45,7.55,77.20,1.80,-18.92
1.431,16.48,7.58,77.27,1.78,-18.94
1.476,16.48,7.58,77.25,1.83,-18.94
1.495,16.50,7.60,77.28,1.89,-18.94
1.541,16.51,7.62,77.29,1.90,-18.94
1.575,16.51,7.62,77.30,1.91,-18.98
1.588,16.55,7.65,77.38,1.95,-18.96
1.636,16.55,7.65,77.36,1.98,-18.96
1.651,16.58,7.68,77.39,1.99,-18.97
