Time(s),Shoulder_Flexion_Deg,Shoulder_Abduction_Deg,Elbow_Flexion_Deg,Elbow_Pronosupination_Deg,Wrist_Flexion_Deg
0.000,0.78,0.04,0.38,1.00,-0.14
0.031,0.78,0.04,0.37,0.99,-0.12
0.066,0.77,0.06,0.36,1.00,-0.12
0.107,0.77,0.06,0.37,1.00,-0.12
0.143,0.78,0.05,0.38,1.12,-0.12
0.174,0.77,0.04,0.37,1.07,-0.12
0.208,0.77,0.04,0.38,1.04,-0.10
0.238,0.78,0.05,0.37,1.15,-0.09
0.286,0.78,0.05,0.36,1.16,-0.09
0.320,0.78,0.05,0.37,1.04,-0.09
0.348,0.77,0.05,0.36,1.04,-0.09
0.396,0.77,0.05,0.37,1.04,-0.09
0.431,0.77,0.05,0.38,1.05,-0.11
0.456,0.78,0.05,0.38,1.08,-0.12
0.505,0.78,0.05,0.38,1.07,-0.12
0.529,0.78,0.05,0.36,0.98,-0.10
0.570,0.78,0.05,0.35,1.05,-0.10
0.606,0.78,0.05,0.37,1.07,-0.10
0.628,0.76,0.04,0.37,1.02,-0.13
0.680,0.74,0.05,0.35,1.12,-0.13
0.722,0.74,0.05,0.33,1.11,-0.12
0.744,0.68,0.11,0.19,1.30,-0.13
0.786,0.62,0.14,0.25,1.25,-0.12
0.814,0.62,0.14,0.34,1.28,-0.17
0.838,0.61,0.32,0.18,2.41,-0.21
0.886,0.61,0.32,0.29,1.95,-0.21
0.898,0.65,0.84,2.16,4.60,-0.27
0.946,0.65,0.84,2.27,2.82,-0.27
0.969,0.91,1.77,6.72,7.78,0.03
1.008,1.11,2.55,7.40,6.81,0.03
1.047,1.11,2.55,15.74,4.83,0.85
1.071,0.96,2.66,24.91,6.73,2.47
1.117,0.59,2.45,24.91,6.54,2.47
1.153,0.59,2.45,35.89,7.20,5.89
1.177,0.16,1.90,46.09,5.63,7.89
1.228,2.09,1.62,46.53,6.16,7.89
1.266,2.09,1.62,55.52,2.14,10.51
1.290,3.66,1.81,66.05,6.92,14.62
1.337,6.37,2.00,66.43,8.59,14.62
1.370,6.37,2.00,71.10,8.66,17.96
1.393,8.78,2.14,80.11,13.45,20.66
1.433,8.78,2.14,77.70,13.18,20.66
1.446,11.37,2.27,83.35,12.84,22.33
1.493,11.37,2.27,80.78,12.45,22.33
1.516,12.39,2.32,81.77,11.67,22.64
1.562,12.14,2.20,80.59,11.37,22.64
