Time(s),Shoulder_Flexion_Deg,Shoulder_Abduction_Deg,Elbow_Flexion_Deg,Elbow_Pronosupination_Deg,Wrist_Flexion_Deg
0.000,1.18,0.33,2.08,2.91,-0.62
0.029,1.18,0.33,2.00,2.68,-0.62
0.054,1.13,0.34,2.05,3.09,-0.62
0.083,1.13,0.34,1.96,2.33,-0.61
0.116,1.13,0.34,1.97,2.54,-0.61
0.142,1.11,0.33,2.01,2.52,-0.58
0.182,1.11,0.33,1.99,2.33,-0.58
0.197,1.05,0.30,2.12,2.59,-0.55
0.236,1.05,0.30,2.08,2.31,-0.55
0.249,0.97,0.26,2.22,2.53,-0.56
0.289,0.97,0.26,2.17,2.05,-0.56
0.308,0.85,0.24,2.29,1.87,-0.57
0.348,0.85,0.24,2.20,1.61,-0.57
0.364,0.82,0.23,2.18,1.62,-0.57
0.401,0.82,0.23,2.16,1.26,-0.57
0.416,0.81,0.24,2.17,1.22,-0.52
0.455,0.81,0.24,2.15,1.04,-0.52
0.468,0.78,0.25,2.15,0.73,-0.58
0.505,0.78,0.25,2.12,0.70,-0.58
0.524,0.83,0.29,1.97,0.32,-0.71
0.564,0.83,0.29,2.00,0.45,-0.71
0.581,0.87,0.27,1.96,0.13,-0.81
0.619,0.87,0.27,2.01,0.20,-0.81
0.634,0.88,0.28,1.97,-0.03,-0.95
0.674,0.88,0.28,1.97,0.07,-0.95
0.689,0.95,0.24,1.86,0.17,-0.99
0.731,0.95,0.24,1.94,0.13,-0.99
0.748,0.93,0.23,1.98,0.04,-1.00
0.788,0.93,0.23,1.97,0.17,-1.00
0.800,0.93,0.23,1.96,0.36,-0.95
0.837,0.93,0.23,1.96,0.55,-0.95
0.856,0.94,0.23,1.94,0.68,-0.89
0.895,0.94,0.23,1.94,0.90,-0.89
0.913,0.97,0.22,1.93,1.19,-0.86
0.952,0.97,0.22,1.96,1.22,-0.86
0.967,1.06,0.16,1.93,1.47,-0.62
1.005,1.06,0.16,2.03,1.61,-0.62
1.022,1.14,0.15,2.06,1.79,-0.38
1.060,1.14,0.15,2.13,1.88,-0.38
1.077,1.16,0.15,2.18,1.81,-0.29
1.115,1.16,0.15,2.19,2.00,-0.29
1.130,1.19,0.21,2.13,2.26,-0.33
1.169,1.19,0.21,2.13,2.13,-0.33
1.186,1.22,0.27,2.11,2.18,-0.35
1.226,1.22,0.27,2.10,2.15,-0.35
1.241,1.21,0.29,2.18,1.88,-0.35
1.279,1.21,0.29,2.16,2.05,-0.35
1.297,1.17,0.26,2.25,2.25,-0.38
1.335,1.17,0.26,2.23,2.22,-0.38
1.349,1.13,0.27,2.23,2.28,-0.36
1.389,1.13,0.27,2.19,2.13,-0.36
1.405,1.07,0.28,2.22,1.88,-0.35
1.445,1.07,0.28,2.16,2.05,-0.35
1.463,1.07,0.27,2.08,1.99,-0.36
1.500,1.07,0.27,2.08,2.11,-0.36
1.517,1.08,0.30,2.06,1.91,-0.41
1.555,1.08,0.30,2.04,2.07,-0.41
1.572,1.09,0.35,2.02,2.07,-0.44
1.612,1.09,0.35,2.01,2.16,-0.44
1.634,1.09,0.39,2.00,2.14,-0.47
1.674,1.09,0.39,1.98,2.18,-0.47
1.681,1.11,0.41,1.93,2.12,-0.49
1.718,1.11,0.41,1.94,2.18,-0.49
1.739,1.09,0.48,1.95,2.17,-0.51
1.777,1.09,0.48,1.89,2.21,-0.51
1.795,1.08,0.54,1.87,2.26,-0.50
1.833,1.08,0.54,1.82,2.26,-0.50
1.847,1.08,0.55,1.84,2.21,-0.50
1.886,1.08,0.55,1.83,2.25,-0.50
1.903,1.08,0.56,1.86,2.18,-0.55
1.941,1.08,0.56,1.85,2.25,-0.55
1.961,1.10,0.59,1.82,2.28,-0.53
1.999,1.10,0.59,1.82,2.29,-0.53
2.012,1.09,0.58,1.81,2.26,-0.54
2.050,1.09,0.58,1.81,2.27,-0.54
2.067,1.09,0.58,1.81,2.15,-0.56
2.106,1.09,0.58,1.81,2.19,-0.56
2.123,1.10,0.60,1.80,2.23,-0.54
2.159,1.10,0.60,1.80,2.22,-0.54
2.180,1.10,0.60,1.80,2.10,-0.54
2.219,1.10,0.60,1.79,2.14,-0.54
2.235,1.11,0.60,1.78,2.06,-0.55
2.275,1.11,0.60,1.78,2.10,-0.55
2.289,1.10,0.60,1.80,2.28,-0.54
2.336,1.10,0.60,1.79,2.19,-0.54
2.349,1.10,0.61,1.79,2.17,-0.60
2.403,1.10,0.61,1.79,2.13,-0.60
2.416,1.12,0.60,1.77,2.22,-0.58
2.446,1.12,0.60,1.81,2.06,-0.59
2.468,1.12,0.58,1.82,2.07,-0.59
2.515,1.12,0.58,1.78,2.07,-0.58
2.542,1.13,0.60,1.77,2.15,-0.58
2.572,1.13,0.60,1.78,2.02,-0.64
2.608,1.13,0.60,1.78,2.05,-0.64
2.626,1.14,0.60,1.79,2.09,-0.63
2.673,1.14,0.60,1.79,2.06,-0.63
2.691,1.14,0.59,1.78,1.98,-0.64
2.725,1.14,0.59,1.79,1.96,-0.67
2.759,1.12,0.58,1.81,1.99,-0.67
2.793,1.12,0.58,1.78,1.86,-0.68
2.820,1.23,0.51,1.70,1.73,-0.68
2.848,1.23,0.51,1.87,1.72,-0.68
2.870,1.40,0.41,1.71,1.23,-0.69
2.906,1.40,0.41,2.05,1.66,-0.72
2.939,1.58,0.19,1.88,-0.08,-0.85
2.963,1.62,0.12,2.18,-0.11,-0.85
3.003,1.62,0.12,2.49,-2.51,-1.50
3.027,1.42,0.71,2.74,-3.64,-1.50
3.058,1.42,0.71,2.03,-10.03,-5.02
3.083,0.40,2.06,3.10,-10.67,-5.02
3.114,0.40,2.06,0.99,-30.83,-11.59
3.140,2.41,4.80,3.72,-32.44,-11.59
3.168,2.41,4.80,2.85,-49.95,-17.51
3.193,6.92,8.67,3.26,-53.03,-17.51
3.224,6.92,8.67,4.44,-57.96,-23.09
3.249,11.91,13.00,2.01,-57.83,-23.09
3.282,11.91,13.00,2.99,-59.02,-24.03
3.308,18.37,19.63,5.27,-56.13,-24.03
3.335,18.37,19.63,4.60,-59.65,-25.16
3.363,24.58,25.93,9.21,-56.08,-25.16
3.391,24.58,25.93,10.56,-58.12,-28.76
3.417,33.11,33.85,16.77,-54.06,-28.76
3.448,33.11,33.85,18.05,-54.10,-27.53
3.474,40.93,40.32,23.06,-50.98,-27.53
3.501,40.93,40.32,23.31,-48.82,-31.29
3.525,50.48,48.86,28.83,-46.39,-31.29
3.558,50.48,48.86,28.50,-41.88,-30.33
3.582,58.40,56.33,32.14,-40.16,-30.33
3.613,58.40,56.33,31.76,-34.88,-31.60
3.642,67.03,64.61,35.29,-33.32,-31.60
3.667,67.03,64.61,34.07,-29.30,-30.02
3.693,73.07,70.68,36.15,-28.19,-30.02
3.723,73.07,70.68,35.23,-25.03,-30.22
3.749,78.60,76.30,37.53,-24.64,-30.22
3.778,78.60,76.30,35.37,-21.98,-29.10
3.803,82.06,80.08,36.78,-21.73,-29.10
