Time(s),Shoulder_Flexion_Deg,Shoulder_Abduction_Deg,Elbow_Flexion_Deg,Elbow_Pronosupination_Deg,Wrist_Flexion_Deg
0.000,0.85,0.00,1.02,0.30,0.45
0.033,0.84,0.00,1.02,0.34,0.45
0.057,0.84,0.00,1.01,0.23,0.43
0.080,0.81,0.00,1.01,0.17,0.43
0.113,0.81,0.00,1.01,0.24,0.43
0.139,0.77,0.00,0.98,0.16,0.43
0.164,0.77,0.00,1.01,0.25,0.42
0.189,0.77,0.00,1.04,0.21,0.42
0.216,0.77,0.00,0.97,0.24,0.42
0.239,0.73,0.04,0.98,0.09,0.42
0.270,0.73,0.04,0.93,0.24,0.38
0.295,0.74,0.05,0.93,0.18,0.38
0.326,0.74,0.05,0.93,0.37,0.38
0.351,0.75,0.07,0.94,0.36,0.37
0.381,0.75,0.07,0.93,0.34,0.37
0.405,0.74,0.06,0.92,0.25,0.37
0.436,0.74,0.06,0.93,0.37,0.34
0.459,0.75,0.07,0.95,0.34,0.34
0.490,0.75,0.07,0.93,0.40,0.34
0.515,0.76,0.07,0.93,0.39,0.34
0.545,0.76,0.07,0.92,0.39,0.33
0.570,0.76,0.07,0.92,0.39,0.33
0.601,0.76,0.07,0.92,0.41,0.30
0.624,0.74,0.05,0.90,0.41,0.30
0.657,0.74,0.05,0.93,0.41,0.30
0.684,0.76,0.07,0.96,0.40,0.30
0.714,0.76,0.07,0.92,0.40,0.31
0.740,0.75,0.04,0.90,0.42,0.31
0.769,0.75,0.04,0.93,0.45,0.29
0.794,0.77,0.00,0.93,0.50,0.29
0.824,0.77,0.00,0.98,0.44,0.28
0.850,0.79,0.00,0.97,0.40,0.28
0.879,0.79,0.00,0.99,0.47,0.27
0.905,0.82,0.00,1.01,0.40,0.27
0.936,0.82,0.00,0.98,0.53,0.22
0.960,0.83,0.00,0.97,0.49,0.22
0.988,0.83,0.00,0.98,0.45,0.19
1.012,0.84,0.00,1.00,0.40,0.19
1.043,0.84,0.00,0.98,0.53,0.20
1.066,0.84,0.00,0.98,0.53,0.20
1.101,0.84,0.00,0.98,0.43,0.18
1.126,0.83,0.00,0.96,0.43,0.18
1.156,0.83,0.00,0.99,0.50,0.17
1.181,0.80,0.04,0.95,0.51,0.17
1.211,0.80,0.04,1.01,0.47,0.16
1.235,0.79,0.03,1.02,0.47,0.16
1.263,0.79,0.03,0.99,0.42,0.16
1.287,0.78,0.04,0.98,0.40,0.17
1.318,0.78,0.04,1.00,0.44,0.16
1.342,0.77,0.04,0.98,0.46,0.17
1.376,0.77,0.04,1.00,0.40,0.17
1.403,0.77,0.04,1.00,0.40,0.17
1.431,0.77,0.04,1.00,0.35,0.17
1.457,0.77,0.04,0.99,0.32,0.17
1.486,0.77,0.04,1.00,0.36,0.16
1.510,0.78,0.04,1.00,0.34,0.16
1.538,0.78,0.04,1.00,0.38,0.16
1.562,0.80,0.07,1.00,0.41,0.16
1.593,0.80,0.07,1.02,0.43,0.19
1.618,0.80,0.07,1.02,0.48,0.18
1.656,0.80,0.07,1.03,0.41,0.18
1.683,0.81,0.04,1.04,0.43,0.18
1.715,0.81,0.04,1.01,0.48,0.21
1.738,0.81,0.04,1.01,0.51,0.21
1.762,0.81,0.04,1.01,0.46,0.21
1.787,0.81,0.06,1.00,0.48,0.21
