Time(s),Shoulder_Elevation_Deg,Elbow_Flexion_Deg
0.000,0.62,0.46
0.020,0.66,0.48
0.034,0.70,0.45
0.079,0.70,0.41
0.098,0.71,0.41
0.186,0.72,0.37
0.234,0.71,0.42
0.263,0.71,0.44
0.319,0.71,0.39
0.339,0.70,0.30
0.370,0.68,0.28
0.415,0.68,0.30
0.466,0.68,0.25
0.485,0.67,0.27
0.528,0.67,0.28
0.545,0.67,0.30
0.589,0.67,0.31
0.652,0.67,0.34
0.672,0.70,0.43
0.701,0.70,0.42
0.747,0.70,0.41
0.805,0.70,0.43
0.828,0.70,0.46
0.868,0.70,0.46
0.900,0.70,0.49
0.942,0.69,0.47
0.977,0.70,0.50
1.022,0.70,0.49
1.042,0.69,0.48
1.088,0.69,0.49
1.147,0.69,0.45
1.165,0.68,0.56
1.199,0.68,0.59
1.245,0.68,0.59
1.292,0.69,0.60
1.308,0.69,0.60
1.355,0.69,0.61
1.378,0.68,0.64
1.418,0.68,0.66
1.474,0.68,0.63
1.491,0.67,0.61
1.528,0.67,0.62
1.560,0.67,0.63
1.587,0.67,0.65
1.662,0.67,0.66
1.683,0.70,0.67
1.700,0.72,0.65
1.746,0.72,0.63
1.793,0.73,0.61
1.812,0.73,0.61
1.859,0.73,0.61
1.883,0.73,0.64
1.918,0.73,0.63
1.986,0.73,0.64
2.007,0.73,0.66
2.027,0.75,0.70
2.072,0.75,0.67
2.117,0.79,0.65
2.140,0.82,0.62
2.187,0.82,0.61
2.210,0.85,0.65
2.247,0.86,0.61
2.308,0.86,0.63
2.325,0.85,0.57
2.361,0.86,0.58
2.405,0.86,0.57
2.458,0.86,0.58
2.479,0.86,0.63
2.520,0.87,0.62
2.551,0.87,0.71
2.579,0.94,0.84
2.653,0.94,0.77
2.670,1.06,0.91
2.689,1.15,0.87
2.736,1.15,0.80
2.788,1.14,0.96
2.805,1.07,0.97
2.854,0.97,1.10
2.885,0.97,0.79
2.912,0.90,0.81
2.980,0.90,0.86
3.006,0.83,0.80
3.025,0.83,0.84
3.077,0.84,0.82
3.138,0.84,0.88
3.161,0.85,0.89
3.188,0.88,0.92
3.239,0.88,0.89
3.304,0.87,0.85
3.328,0.85,0.85
3.351,0.79,0.82
3.397,0.79,0.87
3.444,0.76,0.84
3.464,0.74,0.83
3.510,0.74,0.86
3.530,0.72,0.85
3.573,0.73,0.87
3.630,0.73,0.82
3.647,0.73,0.80
3.680,0.74,0.79
3.727,0.74,0.78
3.776,0.75,0.77
3.799,0.74,0.73
3.844,0.73,0.74
3.875,0.73,0.73
3.904,0.73,0.68
3.973,0.73,0.68
3.990,0.72,0.65
4.009,0.72,0.58
4.056,0.72,0.58
4.121,0.70,0.51
4.145,0.67,0.53
4.172,0.67,0.54
4.219,0.67,0.54
4.264,0.67,0.56
4.285,0.68,0.54
4.328,0.68,0.53
4.347,0.68,0.57
4.393,0.68,0.57
4.438,0.68,0.55
4.456,0.68,0.54
4.502,0.68,0.53
4.523,0.67,0.55
4.559,0.67,0.57
4.619,0.67,0.48
4.642,0.67,0.47
4.677,0.67,0.47
4.726,0.67,0.49
4.771,0.67,0.46
4.788,0.67,0.45
4.836,0.67,0.45
4.866,0.67,0.47
4.899,0.67,0.47
4.972,0.67,0.46
4.990,0.67,0.47
5.006,0.66,0.50
5.055,0.66,0.50
5.111,0.66,0.52
5.136,0.66,0.55
5.169,0.65,0.63
5.218,0.65,0.67
5.261,0.64,0.67
5.282,0.71,0.73
5.328,0.71,0.80
5.348,0.83,0.66
5.391,1.00,0.95
5.450,1.00,0.61
5.469,1.01,0.66
5.500,0.91,0.57
5.546,0.91,0.53
5.597,0.81,0.54
5.617,0.73,0.49
5.661,0.73,0.46
5.683,0.71,0.53
5.723,0.78,0.61
5.782,0.78,0.56
5.800,0.93,0.72
5.833,1.30,0.84
5.880,1.30,0.94
5.934,1.40,0.37
5.954,1.28,0.27
5.997,1.13,0.20
6.028,1.13,0.31
6.059,1.00,0.42
6.131,1.00,0.23
6.157,0.95,0.42
6.174,0.86,0.30
6.220,0.71,0.09
6.288,0.71,0.34
6.309,0.64,0.25
6.330,0.73,0.46
6.380,0.73,0.42
6.430,1.03,0.88
6.446,1.55,0.92
6.490,1.55,0.74
6.506,1.51,0.44
6.552,0.61,1.29
6.614,0.61,1.52
6.635,4.03,2.96
6.661,11.48,3.53
6.708,11.48,9.55
6.750,25.59,5.28
6.773,40.06,5.10
6.818,40.06,13.52
6.843,55.30,10.59
6.884,65.98,9.51
6.964,65.98,2.72
6.987,76.37,11.89
7.005,83.03,13.78
7.047,87.85,13.88
7.113,87.85,16.05
7.136,89.69,16.25
7.154,89.50,16.60
7.201,89.50,16.61
7.245,87.34,17.60
7.266,82.87,17.18
7.310,82.87,15.61
7.327,77.16,18.11
7.378,77.16,15.45
7.432,68.34,19.61
7.448,59.28,19.03
7.487,46.28,23.02
7.532,46.28,16.87
7.586,35.00,22.06
7.616,21.36,25.19
7.650,9.59,21.13
7.696,9.59,15.18
7.744,7.31,10.20
7.764,9.75,6.65
7.808,9.75,9.05
7.826,15.90,3.73
7.874,27.38,17.61
7.948,27.38,15.92
7.968,38.87,6.97
7.987,51.28,4.99
8.031,51.28,16.03
8.083,60.65,5.25
8.101,70.66,4.91
8.145,70.66,6.60
8.162,77.66,4.62
8.206,84.39,10.14
8.261,84.39,12.80
8.282,88.20,9.29
8.318,90.65,10.46
8.368,90.65,12.13
8.415,91.17,13.61
8.433,90.33,14.51
8.477,90.33,14.25
8.498,87.66,15.53
8.539,83.85,15.91
8.614,83.85,13.28
8.633,77.95,16.98
8.654,71.53,16.87
8.701,62.52,14.86
8.757,62.52,9.67
8.776,52.79,21.60
8.810,40.79,24.70
8.859,40.79,14.70
8.911,30.35,24.71
8.929,19.04,24.71
8.973,19.04,16.18
8.992,11.69,19.91
9.033,12.01,13.30
9.110,12.01,10.92
9.133,15.62,6.99
9.148,24.30,6.25
9.194,24.30,13.20
9.243,33.24,6.26
9.260,44.32,7.02
9.307,53.17,18.95
9.341,53.17,8.53
9.372,63.14,9.52
9.453,72.15,13.26
9.476,80.87,5.13
9.508,80.87,11.82
9.531,86.86,9.01
9.613,86.86,12.16
9.633,89.03,13.41
9.651,89.38,14.75
9.692,87.91,16.56
9.745,87.91,12.87
9.766,84.10,15.53
9.805,79.55,13.92
9.840,79.55,7.32
9.871,71.99,12.61
9.941,65.55,9.86
9.971,54.82,5.80
10.002,54.82,4.75
10.033,43.33,11.38
10.115,31.27,7.67
10.142,21.66,6.31
10.174,21.66,7.27
10.199,11.37,21.13
10.281,11.91,13.37
10.299,16.36,9.48
10.327,16.36,8.54
10.362,26.65,11.15
10.420,26.65,10.20
10.438,35.46,6.26
10.471,47.62,19.95
10.501,47.62,7.85
10.531,58.29,12.61
10.606,69.87,19.67
10.636,78.23,3.87
10.666,78.23,5.48
10.694,86.73,10.74
10.767,91.23,5.75
10.793,93.76,10.29
10.829,93.76,12.59
10.868,93.48,11.65
10.932,91.16,12.11
10.961,88.18,11.62
10.993,88.18,10.60
11.024,82.50,12.46
11.087,82.50,8.19
11.108,75.40,12.95
11.137,64.11,16.38
11.185,52.48,13.44
11.245,52.48,7.05
11.262,37.71,23.74
