Time(s),Shoulder_Elevation_Deg,Elbow_Flexion_Deg
11.293,23.88,24.41
11.324,23.88,7.10
11.363,13.25,11.35
11.427,13.25,7.31
11.447,12.64,7.51
11.470,16.00,4.76
11.511,24.88,13.08
11.545,24.88,7.89
11.603,33.32,11.65
11.623,45.48,14.69
11.656,45.48,6.06
11.690,55.98,13.71
11.726,55.98,3.10
11.780,68.15,20.15
11.800,77.26,11.93
11.847,86.33,2.26
11.882,86.33,10.03
11.935,90.77,10.33
11.965,92.69,9.57
12.010,91.90,10.27
12.042,91.90,10.81
12.112,89.70,10.11
12.135,85.30,12.04
12.176,80.38,11.92
12.211,80.38,9.25
12.269,72.05,14.38
12.298,64.16,15.29
12.341,51.11,13.33
12.378,51.11,4.07
12.434,38.91,19.87
12.463,25.31,21.07
12.511,15.09,21.58
12.547,15.09,6.27
12.612,10.60,13.71
12.643,12.56,0.94
12.673,20.62,9.34
12.707,20.62,6.66
12.762,29.57,5.79
12.791,40.90,9.37
12.836,51.89,20.06
12.868,51.89,3.39
12.934,64.89,15.81
12.955,75.44,5.79
12.990,75.44,5.75
13.014,83.39,8.34
13.058,89.90,5.38
13.123,89.90,9.10
13.146,92.79,9.26
13.174,93.92,8.16
13.221,92.87,8.53
13.278,92.87,7.72
13.301,90.28,7.99
13.335,87.21,7.11
13.368,87.21,7.33
13.400,81.96,12.75
13.467,75.60,10.62
13.498,66.19,9.05
13.531,66.19,7.43
13.564,55.40,7.52
13.628,55.40,8.37
13.652,39.21,21.98
13.672,26.59,20.37
13.720,26.59,9.13
13.762,13.63,23.03
13.784,12.00,8.75
13.828,12.00,7.20
13.844,15.66,2.05
13.891,25.04,11.58
13.953,25.04,8.57
13.974,34.13,5.68
14.005,46.23,9.59
14.050,46.23,12.74
14.105,58.66,11.71
14.126,67.60,9.62
14.166,77.46,9.73
14.202,77.46,7.12
14.249,84.56,7.26
14.284,89.75,7.84
14.332,89.75,8.76
14.364,92.29,7.67
14.419,92.56,7.43
14.449,91.67,7.68
14.496,91.67,7.82
14.515,89.85,8.20
14.583,86.67,8.26
14.611,82.20,8.53
14.639,82.20,5.68
14.669,74.50,11.73
14.740,74.50,5.04
14.760,65.65,11.96
14.778,51.69,16.85
14.823,51.69,3.34
14.875,38.32,17.68
14.899,25.44,19.94
14.942,15.33,15.75
14.978,15.33,8.24
15.027,10.99,11.56
15.052,15.73,6.44
15.103,15.73,9.63
15.122,23.51,9.56
15.164,34.34,19.55
15.223,34.34,12.42
15.244,43.95,12.45
15.273,56.27,16.78
15.321,56.27,15.93
15.372,65.13,12.23
15.392,75.55,12.35
15.435,82.52,8.84
15.471,82.52,2.08
15.519,88.34,6.51
15.550,91.13,4.15
15.592,91.13,5.02
15.614,93.05,5.94
15.658,93.03,10.42
15.718,93.03,9.23
15.735,91.45,10.39
15.770,88.75,9.09
15.801,88.75,7.86
15.828,86.11,9.54
15.906,86.11,7.90
15.927,81.43,15.32
15.947,76.25,16.69
15.992,76.25,11.80
16.043,67.48,19.32
16.061,54.26,19.39
16.104,42.45,15.53
16.134,42.45,11.16
16.159,28.37,24.20
16.226,28.37,13.49
16.247,18.43,23.13
16.269,14.06,15.48
16.314,14.06,11.52
16.360,17.76,8.05
16.386,27.61,8.85
16.429,27.61,17.20
16.448,37.37,7.90
16.490,47.77,21.45
16.553,47.77,13.01
16.578,56.73,12.45
16.609,66.37,12.01
16.652,74.30,12.57
16.711,74.30,2.58
16.729,82.54,4.61
16.764,87.80,4.58
16.795,87.80,7.91
16.822,89.81,5.40
16.900,89.81,6.86
16.917,90.31,6.07
16.937,89.55,7.44
16.981,89.55,6.95
17.033,87.46,7.86
17.051,85.79,5.96
17.095,85.79,4.42
17.118,82.88,6.20
17.158,79.51,7.92
17.226,75.00,7.23
17.262,75.00,4.32
17.282,70.41,9.50
17.321,62.77,3.42
17.384,62.77,8.42
17.406,55.45,12.59
17.434,46.07,15.63
17.482,46.07,6.81
17.536,35.80,16.77
17.558,27.67,17.60
17.594,17.42,13.16
17.628,17.42,7.58
