Time(s),Shoulder_Flexion_Deg,Shoulder_Abduction_Deg,Elbow_Flexion_Deg,Elbow_Pronosupination_Deg,Wrist_Flexion_Deg
0.000,3.32,2.52,1.38,-2.00,-0.70
0.028,3.44,2.11,1.78,-3.06,-1.29
0.067,3.46,1.91,1.36,-2.02,-1.36
0.131,3.53,1.77,1.38,-1.86,-1.36
0.171,3.53,1.77,0.94,-2.15,-1.46
0.186,3.52,1.66,1.05,-2.12,-1.43
0.222,3.42,1.63,1.02,-2.23,-1.43
0.262,3.42,1.63,0.88,-2.02,-1.60
0.278,3.31,1.63,1.07,-2.06,-1.77
0.319,3.31,1.63,0.96,-1.98,-1.77
0.338,3.20,1.71,1.15,-1.92,-1.83
0.378,3.20,1.71,1.06,-1.90,-1.83
0.395,3.13,1.76,1.25,-1.85,-1.88
0.439,3.13,1.76,1.18,-1.85,-1.88
0.456,3.06,1.84,1.25,-1.71,-1.87
0.500,3.06,1.84,1.20,-1.74,-1.87
0.511,3.04,1.84,1.27,-1.68,-1.85
0.555,3.04,1.84,1.26,-1.69,-1.85
0.569,3.05,1.84,1.24,-1.60,-1.84
0.615,3.05,1.84,1.24,-1.66,-1.84
0.628,3.06,1.82,1.20,-1.60,-1.83
0.671,3.06,1.82,1.20,-1.64,-1.83
0.702,3.06,1.82,1.15,-1.73,-1.82
0.736,3.00,1.78,1.22,-1.82,-1.76
0.785,2.96,1.73,1.21,-1.82,-1.76
0.818,2.96,1.73,1.08,-1.71,-1.80
0.841,2.92,1.71,1.17,-1.71,-1.80
0.888,2.92,1.71,1.12,-1.71,-1.80
0.905,2.88,1.68,1.14,-1.84,-1.81
0.953,2.85,1.70,1.08,-1.76,-1.81
0.982,2.85,1.70,1.09,-1.61,-1.80
1.008,2.84,1.73,1.07,-1.65,-1.86
1.052,2.84,1.73,1.07,-1.63,-1.86
1.072,2.78,1.75,1.13,-1.59,-1.85
1.117,2.78,1.75,1.09,-1.58,-1.85
1.136,2.75,1.72,1.23,-1.66,-1.92
1.171,2.67,1.69,1.25,-1.56,-1.92
1.204,2.67,1.69,1.15,-1.47,-1.87
1.229,2.63,1.68,1.26,-1.34,-1.88
1.278,2.63,1.68,1.22,-1.39,-1.88
1.297,2.55,1.69,1.26,-1.15,-1.86
1.340,2.49,1.69,1.21,-1.20,-1.86
1.372,2.49,1.69,1.13,-1.31,-1.87
1.401,2.48,1.73,1.05,-1.40,-1.59
1.449,2.48,1.73,1.06,-1.25,-1.59
1.474,2.47,1.94,0.71,-1.82,-0.80
1.518,2.29,2.24,0.73,-0.86,-0.33
1.561,2.14,2.45,0.56,-0.59,-0.33
1.592,2.14,2.45,1.16,-1.06,-0.32
1.618,2.00,2.58,1.38,-0.63,-0.20
1.665,2.00,2.58,1.29,-0.73,-0.20
1.682,1.66,2.91,1.26,-1.00,0.44
1.732,1.66,2.91,1.04,-0.92,0.45
1.750,1.33,3.37,1.11,0.13,1.53
1.781,1.14,3.81,1.12,0.44,1.34
1.830,1.14,3.81,1.17,-0.12,1.34
1.851,1.03,4.08,1.49,0.59,1.20
1.894,0.93,4.20,1.48,0.35,1.20
1.925,0.93,4.20,2.00,-0.65,0.93
1.949,0.82,4.14,2.19,-0.79,1.07
1.997,0.82,4.14,2.07,-0.69,1.07
2.016,0.79,4.37,1.92,-2.43,0.95
2.062,2.72,5.37,3.17,-4.89,0.95
2.092,2.72,5.37,1.73,-8.39,1.04
2.118,5.04,8.93,7.20,-31.31,-0.59
2.164,5.04,8.93,3.02,-28.63,-0.58
2.185,8.11,16.78,16.10,-34.15,-3.37
2.228,11.91,24.99,13.85,-29.82,-3.37
2.264,11.91,24.99,12.16,-37.04,-6.02
2.287,17.15,35.81,21.50,-21.12,-10.03
2.332,17.15,35.81,12.99,-27.06,-10.03
2.353,22.99,44.67,23.20,-23.37,-13.64
2.397,31.42,54.22,16.78,-20.01,-13.64
2.435,31.42,54.22,20.98,-34.17,-15.48
2.456,38.99,61.76,27.40,-19.15,-15.71
2.505,48.56,69.02,23.20,-16.27,-15.71
2.541,48.56,69.02,24.93,-29.01,-15.71
2.563,55.65,73.72,29.10,-19.13,-14.42
2.610,55.65,73.72,26.92,-21.68,-14.42
2.630,59.26,75.63,28.50,-21.18,-14.26
2.675,60.08,76.09,28.04,-21.33,-14.26
2.708,60.08,76.09,28.61,-25.01,-14.39
2.729,59.03,75.79,29.00,-21.50,-14.97
2.780,59.03,75.79,28.76,-21.44,-14.97
2.805,55.99,74.76,28.58,-20.69,-13.54
2.846,50.59,72.39,27.34,-22.45,-11.60
2.900,42.91,68.36,27.95,-25.27,-11.60
2.937,42.91,68.36,25.56,-22.46,-11.06
2.965,35.76,64.20,26.01,-23.49,-8.67
3.007,27.21,58.33,28.40,-26.80,-8.67
3.046,27.21,58.33,21.57,-21.49,-9.42
3.068,20.22,52.28,24.85,-20.93,-7.12
3.114,15.50,47.03,26.53,-24.13,-7.12
3.146,15.50,47.03,16.42,-21.84,-8.12
3.169,10.42,41.02,21.70,-22.90,-6.33
3.214,10.42,41.02,18.43,-24.33,-6.33
3.234,7.47,35.45,18.64,-24.21,-7.70
3.274,3.99,29.29,21.86,-24.89,-7.70
3.308,3.99,29.29,8.81,-22.45,-5.29
3.333,2.20,23.75,16.04,-23.15,-7.52
3.380,2.20,23.75,12.18,-21.40,-7.52
3.399,0.39,16.94,15.95,-27.29,-7.58
3.442,0.99,11.74,15.27,-28.71,-7.58
3.475,0.99,11.74,2.14,-18.49,-7.33
3.500,1.74,6.47,10.79,-25.11,-6.54
3.546,1.74,6.47,5.94,-19.16,-6.54
3.567,2.43,3.05,8.64,-17.20,-3.89
3.607,2.59,1.69,6.19,-16.05,-3.89
3.640,2.59,1.69,4.78,-5.34,-1.42
3.663,1.34,2.37,4.35,-8.85,1.38
3.708,1.34,2.37,4.32,-7.46,1.38
3.725,1.16,2.83,2.14,-10.36,1.54
3.770,1.16,2.83,2.56,-8.66,1.54
3.790,0.87,2.94,3.18,-12.92,-0.71
3.830,0.40,3.33,3.33,-12.92,-0.71
3.862,0.40,3.33,3.06,-11.48,-2.30
3.884,0.47,4.45,1.27,-15.26,-4.81
3.930,0.47,4.45,2.51,-14.48,-4.81
3.951,1.58,8.88,4.04,-14.30,-4.86
3.993,3.82,15.45,5.53,-12.75,-4.86
4.024,3.82,15.45,8.86,-19.17,-8.20
4.053,6.65,21.92,8.04,-14.56,-10.85
4.100,6.65,21.92,5.68,-16.48,-10.85
4.119,10.62,30.20,10.52,-16.22,-13.16
4.163,14.42,36.98,4.65,-15.10,-13.16
4.192,14.42,36.98,16.16,-23.74,-15.58
4.216,19.59,44.95,15.86,-18.78,-15.72
4.261,19.59,44.95,13.82,-20.45,-15.72
4.284,24.03,51.64,19.30,-16.75,-15.94
4.327,31.08,58.60,14.78,-14.37,-15.94
4.365,31.08,58.60,21.96,-26.02,-15.94
4.388,37.64,64.02,23.06,-18.27,-14.42
4.435,37.64,64.02,22.06,-20.33,-14.42
4.455,46.40,69.55,24.55,-20.03,-14.31
4.491,53.26,73.49,26.84,-19.76,-13.48
4.540,53.26,73.49,25.82,-20.26,-13.48
4.558,60.89,77.44,28.50,-20.10,-12.98
4.604,62.75,79.09,28.77,-18.49,-12.98
4.638,62.75,79.09,27.87,-18.62,-11.24
4.660,66.32,80.75,29.56,-16.00,-9.90
4.709,66.32,80.75,28.94,-16.51,-9.90
4.729,68.35,81.98,30.37,-14.75,-9.64
4.773,67.97,82.02,29.65,-15.34,-9.64
4.809,67.97,82.02,27.98,-17.90,-9.81
4.835,64.34,80.90,27.90,-19.65,-10.06
4.881,58.64,78.87,27.83,-20.41,-10.06
4.913,58.64,78.87,26.01,-19.94,-10.24
4.940,47.96,74.71,26.61,-20.77,-9.57
4.990,47.96,74.71,25.53,-22.62,-9.57
5.014,36.20,68.78,26.62,-20.23,-9.52
5.052,27.55,63.13,26.06,-21.95,-7.66
5.101,27.55,63.13,23.77,-25.22,-7.66
5.123,18.55,55.56,26.29,-23.47,-8.79
5.160,13.93,49.00,22.48,-28.69,-9.08
5.211,13.93,49.00,19.54,-29.24,-9.08
5.233,8.61,40.96,23.67,-33.40,-8.90
5.269,4.71,34.33,21.34,-28.97,-10.03
5.327,4.71,34.33,16.07,-28.44,-10.03
5.352,1.92,26.22,21.74,-37.01,-11.11
5.384,0.71,17.83,20.22,-35.69,-10.95
5.432,0.71,17.83,13.33,-31.08,-10.95
5.452,1.77,12.02,15.84,-34.58,-11.36
5.493,3.80,8.12,13.87,-28.49,-8.23
5.541,3.80,8.12,9.48,-24.62,-8.23
5.561,5.26,7.63,10.45,-15.13,-2.76
5.601,2.32,8.12,11.14,-21.03,-2.76
5.633,2.32,8.12,9.31,-17.71,-2.92
5.660,1.58,8.46,7.97,-20.69,-1.99
5.709,1.58,8.46,8.30,-19.60,-1.99
5.734,0.77,8.26,8.50,-23.83,-4.45
5.765,0.71,8.91,6.58,-28.72,-7.17
5.813,0.71,8.91,7.43,-27.16,-7.17
5.837,2.10,11.75,3.04,-23.93,-13.37
5.874,4.32,15.57,4.74,-24.07,-13.37
5.910,4.32,15.57,9.08,-27.09,-15.05
5.930,7.43,21.76,5.60,-32.33,-16.75
5.981,7.43,21.76,4.85,-31.12,-16.75
6.001,10.85,27.87,9.05,-25.74,-17.03
6.042,15.37,36.05,5.30,-23.17,-17.03
6.078,15.37,36.05,16.30,-26.80,-17.65
6.096,19.31,42.80,15.76,-18.62,-17.70
6.148,19.31,42.80,14.40,-19.53,-17.70
6.169,23.89,50.71,18.68,-15.47,-17.03
6.209,28.43,56.73,21.60,-16.01,-14.62
6.267,28.43,56.73,20.60,-18.34,-14.62
6.296,35.00,63.61,23.84,-15.93,-14.63
6.320,42.29,69.25,25.71,-17.22,-13.31
6.365,42.29,69.25,24.58,-17.80,-13.31
6.385,47.26,72.99,27.02,-15.56,-11.95
6.430,53.36,76.20,25.64,-14.68,-11.95
6.463,53.36,76.20,26.30,-18.43,-11.75
6.487,57.04,78.09,27.20,-16.67,-11.51
6.540,57.04,78.09,26.52,-16.04,-11.51
6.564,58.25,79.08,27.58,-16.61,-11.25
6.602,59.96,80.01,26.58,-15.79,-10.95
6.652,59.96,80.01,25.95,-15.63,-10.95
6.678,62.83,81.03,26.00,-16.30,-10.25
6.714,63.93,81.42,25.34,-17.82,-10.99
6.763,63.35,81.26,25.24,-16.78,-10.99
6.798,63.35,81.26,24.98,-16.83,-11.31
