Time(s),Shoulder_Flexion_Deg,Shoulder_Abduction_Deg,Elbow_Flexion_Deg,Elbow_Pronosupination_Deg,Wrist_Flexion_Deg
3.753,6.86,5.75,7.23,-17.04,-4.65
3.776,9.99,11.29,20.34,-17.45,-9.90
3.823,9.99,11.29,15.61,-22.12,-9.90
3.843,13.75,20.29,28.78,-12.73,-10.64
3.895,13.75,20.29,20.99,-23.45,-10.64
3.911,16.75,29.59,31.67,-20.53,-14.51
3.948,21.32,42.00,42.25,-30.94,-13.31
3.995,21.32,42.00,32.48,-31.28,-13.31
4.012,26.78,52.21,44.06,-32.82,-16.67
4.058,35.91,63.47,44.99,-25.79,-16.67
4.089,35.91,63.47,34.18,-26.64,-15.33
4.108,47.56,72.58,48.31,-22.36,-16.25
4.156,47.56,72.58,42.08,-17.05,-16.25
4.176,57.14,77.94,44.44,-18.46,-16.96
4.219,57.14,77.94,41.02,-14.37,-16.96
4.229,63.07,80.65,41.20,-16.31,-16.42
4.276,63.07,80.65,39.60,-13.33,-16.43
4.287,59.22,79.09,36.88,-16.23,-15.15
4.337,47.56,73.30,34.57,-15.02,-15.15
4.362,47.56,73.30,37.21,-17.47,-13.79
4.383,36.08,65.81,31.54,-16.12,-10.15
4.428,36.08,65.81,32.11,-20.64,-10.15
4.445,25.07,54.85,28.14,-18.12,-10.04
4.493,25.07,54.85,26.64,-23.93,-10.04
4.503,17.72,42.61,22.89,-29.04,-6.24
4.550,17.72,42.61,21.37,-31.14,-6.24
4.561,14.14,33.14,17.21,-37.50,-6.56
4.605,14.14,33.14,16.67,-35.35,-6.56
4.616,11.25,22.82,12.49,-38.66,-2.98
4.662,11.25,22.82,11.57,-34.32,-2.98
4.670,8.43,14.23,8.64,-36.93,-3.20
4.716,8.43,14.23,5.36,-31.00,-3.20
4.737,4.53,4.57,9.40,-34.79,0.44
4.779,3.03,1.29,7.16,-29.29,0.44
4.812,3.03,1.29,5.47,-13.01,5.32
4.826,4.45,0.70,6.77,0.00,4.40
4.876,4.45,0.70,6.11,-1.68,4.40
4.887,6.42,3.57,12.29,-10.84,5.33
4.938,6.42,3.57,8.54,-11.18,5.33
4.951,9.63,10.99,19.92,-1.31,3.42
4.998,13.11,19.47,21.47,0.84,3.42
5.029,13.11,19.47,9.07,-20.38,0.70
5.048,17.60,31.17,30.62,-11.38,-1.16
5.092,17.60,31.17,22.16,-15.81,-1.16
5.102,20.21,40.66,32.81,-20.31,-6.79
5.138,20.21,40.66,26.18,-21.58,-6.79
5.163,27.61,52.84,41.61,-23.18,-6.31
5.210,27.61,52.84,33.79,-19.00,-6.31
5.219,34.11,61.36,40.29,-19.62,-9.49
5.271,34.11,61.36,35.23,-16.31,-9.49
5.284,40.12,69.05,42.52,-14.76,-8.40
5.330,47.26,74.34,40.46,-10.94,-8.40
5.355,47.26,74.34,33.67,-12.53,-10.06
5.385,56.07,78.93,40.64,-11.11,-9.99
5.432,56.07,78.93,37.76,-8.31,-9.99
5.450,59.41,80.39,37.42,-11.14,-10.40
5.495,55.64,78.91,36.23,-10.41,-10.40
5.524,55.64,78.91,35.41,-10.20,-8.97
5.540,45.85,74.62,32.57,-8.99,-7.36
5.585,45.85,74.62,33.27,-12.46,-7.36
5.603,33.57,66.65,30.59,-15.00,-8.08
5.654,33.57,66.65,30.80,-19.13,-8.08
5.667,24.07,56.81,27.96,-19.78,-4.42
5.715,24.07,56.81,27.09,-24.16,-4.42
5.732,17.72,47.42,23.98,-28.94,-4.93
5.775,12.64,36.52,19.04,-37.65,-4.93
5.801,12.64,36.52,19.99,-30.68,-2.85
5.829,9.43,26.05,13.85,-43.11,-1.08
5.868,9.43,26.05,8.47,-37.76,-1.08
5.881,7.38,18.65,10.35,-41.61,0.59
5.930,7.38,18.65,5.32,-35.03,0.59
5.947,4.74,9.80,10.54,-40.74,2.82
5.999,2.93,3.67,7.32,-38.25,2.82
6.035,2.93,3.67,1.69,-18.71,8.16
6.051,3.07,2.47,0.76,-16.50,4.56
6.097,3.07,2.47,0.62,-16.89,4.56
6.113,5.14,7.10,9.28,-10.80,11.85
6.159,7.09,14.26,12.30,-8.72,11.85
6.186,7.09,14.26,4.21,-23.91,6.86
6.206,9.65,23.06,20.88,-17.09,2.75
6.254,9.65,23.06,14.42,-22.82,2.75
6.269,13.88,34.50,26.64,-25.97,-2.81
6.316,13.88,34.50,19.11,-30.10,-2.81
6.334,17.43,44.28,32.41,-33.17,-9.24
6.379,23.76,55.57,34.21,-27.33,-9.24
6.409,23.76,55.57,24.66,-34.04,-11.16
6.427,32.22,64.41,40.65,-26.31,-12.39
6.475,32.22,64.41,35.30,-22.29,-12.39
6.493,45.77,73.64,42.45,-22.01,-11.86
6.535,45.77,73.64,36.84,-16.55,-11.86
6.547,55.50,78.61,40.27,-15.93,-11.04
6.592,55.50,78.61,37.25,-12.23,-11.04
6.603,62.34,81.36,38.06,-14.38,-9.75
6.651,62.34,81.36,36.60,-11.33,-9.75
6.665,57.83,79.91,34.34,-11.63,-9.94
6.712,47.82,75.82,32.82,-11.74,-9.94
6.740,47.82,75.82,34.85,-14.44,-9.91
6.762,34.68,68.27,30.54,-16.64,-10.14
6.801,34.68,68.27,30.66,-21.17,-10.14
6.816,26.22,60.47,28.50,-20.29,-9.12
6.860,26.22,60.47,27.36,-25.25,-9.12
6.879,18.81,49.45,27.13,-29.82,-4.61
6.921,18.81,49.45,23.19,-32.16,-4.61
6.933,13.16,37.15,23.93,-37.30,-1.07
6.983,13.16,37.15,16.54,-34.83,-1.07
7.002,10.23,27.89,16.91,-39.34,0.94
7.048,7.29,16.64,11.41,-46.96,0.94
7.073,7.29,16.64,10.78,-22.05,2.54
7.093,5.49,9.36,10.12,-31.56,3.89
7.131,5.49,9.36,2.93,-25.83,3.89
7.148,3.88,2.75,9.99,-30.11,5.82
7.187,3.88,2.75,3.94,-23.40,5.82
7.203,4.38,0.28,1.44,-16.70,4.57
7.246,4.38,0.28,1.91,-15.99,4.57
7.262,6.15,4.25,10.05,-9.30,9.83
7.312,6.15,4.25,7.57,-11.61,9.83
7.324,8.57,11.23,16.68,-8.62,8.15
7.368,8.57,11.23,12.34,-12.12,8.15
7.379,12.11,19.26,21.70,-12.85,4.39
7.422,12.11,19.26,16.37,-17.73,4.39
7.432,16.91,30.42,27.77,-17.02,0.77
7.478,16.91,30.42,20.45,-22.61,0.77
7.498,21.96,40.57,32.68,-27.72,-3.54
7.538,28.78,52.04,34.78,-23.78,-3.54
7.574,28.78,52.04,24.72,-32.80,-6.28
7.596,37.83,61.68,42.39,-29.30,-8.08
7.646,37.83,61.68,36.24,-24.41,-8.08
7.658,49.81,71.28,45.27,-24.58,-7.94
7.706,49.81,71.28,38.68,-18.91,-7.94
7.717,59.52,77.06,41.66,-20.32,-8.75
7.764,59.52,77.06,38.01,-16.48,-8.75
7.781,66.36,80.67,39.69,-14.74,-9.59
7.823,64.21,80.35,36.65,-10.42,-9.52
7.876,64.21,80.35,35.72,-11.88,-9.52
7.887,56.42,77.43,35.60,-12.19,-9.59
7.932,45.15,71.93,34.15,-15.55,-9.59
7.965,45.15,71.93,36.46,-18.94,-8.40
7.985,34.78,65.16,34.03,-21.23,-7.92
8.025,34.78,65.16,33.82,-24.50,-7.92
8.042,23.57,55.05,33.91,-29.05,-6.37
8.088,23.57,55.05,30.77,-32.95,-6.37
8.099,16.21,45.31,30.37,-38.07,-5.72
8.146,16.21,45.31,26.43,-39.02,-5.72
8.164,10.60,33.54,24.25,-48.14,-3.11
8.207,8.04,24.98,15.95,-51.65,-3.11
8.235,8.04,24.98,14.42,-38.18,-3.88
8.253,5.13,15.07,12.88,-53.21,-0.47
8.298,5.13,15.07,3.05,-45.80,-0.47
8.317,3.50,8.51,9.14,-42.29,4.67
8.363,3.50,8.51,2.74,-36.50,4.67
8.377,2.66,2.27,8.98,-35.00,8.63
8.427,2.66,2.27,3.69,-30.51,8.63
8.451,2.70,2.43,2.98,-19.82,6.59
8.475,4.56,8.65,13.99,-18.62,6.59
8.527,4.56,8.65,9.09,-21.34,6.59
8.542,6.26,16.25,19.04,-19.21,2.64
8.590,6.26,16.25,12.99,-22.66,2.64
8.601,9.65,27.55,24.86,-18.19,0.04
8.648,13.77,40.01,26.00,-14.16,0.03
8.679,13.77,40.01,16.63,-40.95,-4.21
8.702,17.06,49.84,33.88,-32.47,-7.14
8.751,17.06,49.84,27.83,-31.49,-7.14
8.765,24.88,60.50,41.07,-32.63,-7.29
8.811,24.88,60.50,34.65,-27.00,-7.29
8.822,36.17,69.12,40.30,-25.38,-9.75
8.871,49.58,76.78,40.76,-19.11,-9.75
8.904,49.58,76.78,33.44,-16.82,-9.28
8.922,57.04,80.13,37.90,-15.03,-9.80
8.968,57.04,80.13,35.94,-13.43,-9.80
8.987,60.45,81.28,34.19,-13.79,-9.29
9.038,55.90,79.55,32.71,-12.90,-9.29
9.064,55.90,79.55,34.04,-15.26,-9.69
9.084,43.32,74.23,32.44,-17.96,-8.47
9.135,43.32,74.23,33.00,-19.86,-8.47
9.154,34.30,68.53,31.36,-18.32,-8.26
9.195,25.62,59.74,29.15,-25.60,-8.26
9.226,25.62,59.74,34.16,-26.13,-7.03
9.252,19.44,51.11,30.34,-33.97,-7.60
9.302,19.44,51.11,27.68,-35.86,-7.60
9.314,13.15,39.82,27.94,-41.21,-2.70
9.358,13.15,39.82,21.94,-39.60,-2.70
9.370,8.63,29.07,22.01,-44.11,-2.68
9.414,8.63,29.07,14.20,-41.13,-2.68
9.433,5.94,20.13,15.51,-42.65,0.62
9.480,3.18,10.70,10.51,-50.86,0.62
9.512,3.18,10.70,6.88,-26.65,0.90
9.527,1.33,4.76,9.50,-37.81,5.26
9.572,1.33,4.76,4.05,-30.20,5.26
9.587,1.27,2.12,3.26,-26.65,3.34
9.634,1.27,2.12,0.62,-26.39,3.34
9.651,2.63,5.81,7.95,-24.28,10.46
9.693,2.63,5.81,5.81,-25.08,10.46
9.704,4.18,12.69,15.79,-19.37,9.30
9.742,4.18,12.69,11.34,-21.70,9.30
9.752,6.86,22.93,20.88,-18.33,5.14
9.792,6.86,22.93,14.45,-24.69,5.14
9.805,10.02,32.70,24.30,-26.38,5.27
9.842,10.02,32.70,18.47,-30.81,5.27
9.870,14.81,44.68,31.22,-31.85,-2.84
9.913,14.81,44.68,24.24,-32.84,-2.84
9.924,19.77,53.69,35.81,-33.53,-3.40
9.978,19.77,53.69,30.75,-30.83,-3.40
9.998,30.03,64.27,42.89,-27.89,-5.83
10.028,41.57,72.56,42.74,-21.28,-7.26
10.066,41.57,72.56,38.08,-16.47,-7.26
10.086,50.62,77.77,41.70,-13.80,-8.21
10.123,50.62,77.77,38.30,-11.10,-8.21
10.137,60.92,81.76,39.04,-10.25,-8.61
10.175,60.92,81.76,36.81,-8.01,-8.61
10.195,64.14,82.73,35.15,-10.02,-8.75
10.244,64.14,82.73,34.86,-9.17,-8.75
10.265,57.57,80.57,33.83,-10.86,-8.49
10.302,57.57,80.57,34.42,-11.75,-8.49
10.312,45.39,76.18,33.85,-11.95,-9.12
10.359,45.39,76.18,33.95,-14.70,-9.12
10.371,31.56,68.78,32.72,-18.67,-7.51
10.415,31.56,68.78,32.35,-22.53,-7.51
10.428,20.93,59.43,31.13,-26.21,-8.64
10.472,20.93,59.43,29.07,-30.10,-8.64
10.490,15.56,50.90,27.24,-36.22,-5.91
10.532,10.86,39.96,23.06,-45.29,-5.91
