Time(s),Shoulder_Flexion_Deg,Shoulder_Abduction_Deg,Elbow_Flexion_Deg,Elbow_Pronosupination_Deg,Wrist_Flexion_Deg
0.000,2.99,0.50,3.02,2.68,4.64
0.021,2.87,0.69,3.17,1.91,4.41
0.061,2.87,0.69,3.08,1.53,4.41
0.080,2.92,0.65,3.60,0.12,4.00
0.122,2.92,0.65,3.59,0.79,4.00
0.130,2.87,0.51,3.66,-0.06,3.74
0.169,2.87,0.51,3.78,0.85,3.74
0.182,3.04,0.35,3.81,2.03,4.04
0.221,3.04,0.35,3.76,2.14,4.04
0.239,3.10,0.18,3.58,3.26,4.15
0.277,3.10,0.18,3.62,2.78,4.15
0.292,3.00,0.07,3.43,2.50,4.11
0.332,3.00,0.07,3.65,2.30,4.11
0.349,2.90,0.14,3.62,1.44,3.99
0.388,2.90,0.14,3.75,1.66,3.99
0.404,2.85,0.22,3.75,1.91,4.09
0.444,2.85,0.22,3.83,1.83,4.09
0.460,2.89,0.36,3.93,1.81,4.05
0.500,2.89,0.36,3.98,1.70,4.05
0.515,2.85,0.36,3.89,1.03,4.01
0.553,2.85,0.36,3.92,1.36,4.01
0.571,2.93,0.40,4.16,1.37,3.98
0.608,2.93,0.40,4.13,1.56,3.98
0.624,2.92,0.45,4.17,1.46,3.90
0.664,2.92,0.45,4.21,1.52,3.90
0.680,2.94,0.40,4.29,1.28,3.99
0.719,2.94,0.40,4.25,1.36,3.99
0.734,2.94,0.32,4.18,1.60,4.08
0.773,2.94,0.32,4.12,1.30,4.08
0.792,2.97,0.32,4.18,1.96,4.16
0.831,2.97,0.32,4.16,1.47,4.16
0.846,2.86,0.23,4.14,0.40,4.21
0.885,2.86,0.23,4.15,0.73,4.21
0.903,2.63,0.07,4.06,-0.29,4.17
0.944,2.63,0.07,4.11,0.32,4.17
0.958,2.55,0.03,4.35,1.14,4.16
0.998,2.55,0.03,4.36,0.68,4.16
1.014,2.56,0.03,4.60,0.42,4.08
1.053,2.56,0.03,4.63,0.21,4.08
1.067,2.58,0.09,4.65,-0.79,4.15
1.107,2.58,0.09,4.56,-0.27,4.15
1.125,2.64,0.17,4.60,0.21,4.22
1.165,2.64,0.17,4.50,0.10,4.22
1.177,2.59,0.13,4.40,0.29,4.19
1.215,2.59,0.13,4.47,0.02,4.19
1.234,2.49,0.14,4.42,-0.81,4.12
1.273,2.49,0.14,4.50,-0.53,4.12
1.289,2.46,0.19,4.57,-0.68,4.15
1.328,2.46,0.19,4.55,-0.40,4.15
1.344,2.41,0.15,4.53,-0.13,4.19
1.383,2.41,0.15,4.60,-0.17,4.19
1.399,2.40,0.15,4.63,0.00,4.28
1.437,2.40,0.15,4.63,-0.25,4.28
1.455,2.38,0.17,4.67,-0.81,4.29
1.492,2.38,0.17,4.67,-0.65,4.29
1.510,2.40,0.19,4.75,-0.50,4.28
1.546,2.40,0.19,4.73,-0.52,4.28
1.563,2.41,0.22,4.76,-0.64,4.27
1.600,2.41,0.22,4.74,-0.63,4.27
1.621,2.42,0.17,4.83,-1.10,4.18
1.660,2.42,0.17,4.85,-0.80,4.18
1.677,2.44,0.16,4.93,-0.73,4.20
1.714,2.44,0.16,4.92,-0.56,4.20
1.732,2.44,0.16,4.84,-0.57,4.23
1.769,2.44,0.16,4.84,-0.53,4.23
1.786,2.44,0.13,4.86,-0.66,4.20
1.822,2.44,0.13,4.87,-0.59,4.20
1.844,2.46,0.09,4.91,-0.32,4.24
1.880,2.46,0.09,4.92,-0.43,4.24
1.895,2.48,0.06,4.93,-0.46,4.23
1.935,2.48,0.06,4.93,-0.54,4.23
1.950,2.52,0.06,4.98,-0.83,4.28
1.987,2.52,0.06,4.95,-0.80,4.28
2.008,2.65,0.17,5.02,-1.49,4.27
2.045,2.65,0.17,4.86,-1.13,4.27
2.060,2.89,0.43,4.87,-3.14,4.26
2.100,2.89,0.43,4.51,-2.66,4.26
2.116,2.50,1.61,4.45,-11.43,1.52
2.151,2.50,1.61,3.60,-12.25,1.52
2.175,0.64,4.27,6.71,-40.63,-4.00
2.212,0.64,4.27,4.19,-40.88,-4.00
2.227,3.67,10.08,10.79,-65.97,-10.44
2.264,3.67,10.08,3.89,-63.58,-10.44
2.282,10.24,18.87,15.59,-67.93,-15.59
2.320,10.24,18.87,5.08,-66.63,-15.59
2.338,17.64,27.60,15.98,-67.87,-20.81
2.376,17.64,27.60,6.32,-67.25,-20.81
2.392,28.86,38.53,23.35,-63.20,-18.54
2.429,28.86,38.53,12.31,-62.03,-18.54
