Time(s),Shoulder_Flexion_Deg,Shoulder_Abduction_Deg,Elbow_Flexion_Deg,Elbow_Pronosupination_Deg,Wrist_Flexion_Deg
0.000,0.94,0.46,0.14,-0.44,-0.38
0.034,0.91,0.48,0.13,-0.58,-0.38
0.065,0.85,0.46,0.10,-0.47,-0.38
0.094,0.85,0.46,0.21,-0.28,-0.39
0.126,0.84,0.40,0.17,0.06,-0.39
0.173,0.84,0.40,0.11,-0.54,-0.36
0.196,0.75,0.42,0.10,-0.73,-0.38
0.229,0.75,0.49,0.16,-0.95,-0.38
0.261,0.75,0.49,0.16,-0.38,-0.40
0.292,0.79,0.46,0.20,-0.33,-0.40
0.323,0.79,0.46,0.13,-0.20,-0.35
0.356,0.73,0.43,0.08,-0.07,-0.35
0.386,0.73,0.43,0.14,-0.26,-0.31
0.409,0.63,0.40,0.10,-0.19,-0.33
0.449,0.58,0.38,0.05,-0.41,-0.33
0.481,0.58,0.38,0.16,-0.18,-0.34
0.514,0.63,0.26,0.25,-0.09,-0.34
0.546,0.63,0.26,0.16,-0.08,-0.28
0.577,0.66,0.15,0.31,0.32,-0.25
0.614,0.64,0.05,0.19,0.32,-0.25
0.645,0.64,0.05,0.23,0.03,-0.19
0.674,0.63,0.06,0.22,0.00,-0.19
0.705,0.63,0.06,0.18,0.04,-0.18
0.736,0.60,0.06,0.16,0.04,-0.18
0.773,0.60,0.06,0.17,0.02,-0.20
0.794,0.45,0.14,0.20,0.19,-0.24
0.838,0.18,0.20,0.34,0.12,-0.24
0.871,0.18,0.20,0.27,-0.19,-0.16
0.905,0.00,0.14,0.32,-0.36,-0.09
0.947,0.07,0.08,0.23,-0.44,-0.08
0.981,0.07,0.08,0.19,-0.11,-0.04
1.010,0.06,0.08,0.20,-0.21,-0.05
1.040,0.06,0.08,0.25,-0.06,-0.04
1.070,0.04,0.14,0.52,-0.16,-0.13
1.110,0.13,0.21,0.55,-0.05,-0.12
1.142,0.13,0.21,0.30,0.00,-0.13
1.176,0.13,0.26,0.32,0.00,-0.13
1.207,0.13,0.26,0.19,-0.03,-0.17
1.236,0.05,0.32,0.07,-0.07,-0.16
1.280,0.03,0.40,0.03,-0.26,-0.16
1.315,0.03,0.40,0.27,-0.14,-0.19
1.348,0.17,0.29,1.09,-0.46,-0.82
1.392,0.53,0.21,1.53,-0.53,-0.82
1.425,0.53,0.21,7.88,0.52,-4.68
1.460,1.69,1.14,18.54,8.97,-1.28
1.502,2.97,1.25,18.88,9.27,-1.28
1.536,2.97,1.25,37.46,15.99,5.01
1.565,2.50,0.92,52.31,14.67,8.45
1.609,0.05,0.32,52.85,15.77,8.45
1.642,0.05,0.32,65.90,15.70,10.41
1.673,3.69,2.67,80.13,21.95,12.85
1.725,3.69,2.67,76.26,19.86,12.85
1.749,8.56,4.86,90.70,22.56,14.29
1.788,13.18,6.04,88.42,24.43,14.29
1.829,13.18,6.04,87.95,13.45,17.41
1.853,17.99,6.38,99.21,16.21,17.73
1.892,20.40,6.49,96.29,17.54,17.73
1.929,20.40,6.49,91.75,11.96,18.36
1.952,20.98,6.77,94.44,13.26,17.06
2.007,20.98,6.77,93.84,13.01,17.06
2.034,20.73,7.22,95.07,14.83,15.96
2.063,21.09,7.94,99.95,16.86,15.66
2.115,21.09,7.94,99.56,16.45,15.66
2.142,22.47,8.86,105.59,20.63,15.45
2.177,24.58,9.91,112.14,24.62,15.53
2.224,27.51,11.79,111.25,26.34,15.53
2.254,27.51,11.79,112.66,25.02,17.07
2.280,29.99,13.33,121.55,32.35,19.96
2.325,29.99,13.33,118.98,31.68,19.96
2.343,31.22,14.44,121.67,32.84,24.10
2.390,31.21,14.65,120.37,32.29,24.10
2.424,31.21,14.65,118.50,28.96,23.28
2.448,29.83,14.49,115.45,26.10,21.34
2.493,29.83,14.49,116.76,26.58,21.34
2.510,28.09,13.98,113.06,22.79,21.18
2.554,24.38,12.61,111.64,20.51,21.18
2.588,24.38,12.61,115.56,24.89,19.95
2.609,19.98,11.06,104.20,15.61,21.26
2.657,19.98,11.06,108.65,17.73,21.26
2.675,14.22,9.32,99.47,11.57,19.76
2.721,9.72,8.06,102.19,10.25,19.76
2.754,9.72,8.06,101.63,12.63,20.33
2.778,4.96,6.96,87.02,3.13,18.94
2.826,4.96,6.96,91.83,4.68,18.94
2.847,1.21,6.29,77.74,-0.19,18.71
2.885,0.83,5.44,80.39,-1.11,18.71
2.918,0.83,5.44,74.45,1.08,15.02
2.941,1.36,4.05,60.25,-6.36,14.23
2.990,1.36,4.05,60.87,-4.93,14.23
3.007,1.11,3.36,48.29,-10.61,8.37
3.048,0.75,2.45,48.93,-10.49,8.37
3.080,0.75,2.45,31.77,-9.73,4.34
3.107,0.83,1.92,19.72,-5.08,0.17
3.156,0.83,1.92,19.80,-6.40,0.17
3.175,1.44,0.97,7.11,-2.95,-2.23
3.213,2.70,0.18,7.58,-4.08,-2.23
3.244,2.70,0.18,0.94,-10.40,-10.26
3.272,4.07,0.30,6.85,-1.79,-11.26
3.322,4.07,0.30,5.40,-2.74,-11.26
3.339,4.96,0.75,7.69,-3.06,-10.50
3.381,5.66,1.13,7.04,-2.15,-10.50
3.413,5.66,1.13,6.48,-6.25,-11.28
3.440,5.52,1.05,5.59,-0.73,-7.75
3.488,5.52,1.05,5.71,-1.11,-7.75
3.511,4.41,0.61,3.58,-5.98,-10.19
3.549,3.28,0.44,4.22,-5.92,-10.19
3.582,3.28,0.44,2.10,-6.19,-11.03
3.606,2.16,0.39,4.31,-9.24,-11.50
3.651,2.16,0.39,3.27,-8.67,-11.50
3.673,1.83,0.57,9.24,-5.21,-9.50
3.711,1.88,0.49,8.85,-5.01,-9.50
3.741,1.88,0.49,18.04,-3.40,-6.15
3.773,1.48,0.09,27.73,-2.46,-3.67
3.823,1.48,0.09,27.33,-2.36,-3.67
3.842,1.11,0.62,40.20,-0.60,0.04
3.878,0.08,1.29,40.21,-0.44,0.04
3.912,0.08,1.29,50.36,1.59,3.16
3.937,2.21,2.29,65.40,0.72,5.68
3.986,2.21,2.29,63.30,0.38,5.68
4.005,5.47,3.98,75.59,3.73,8.98
4.044,8.06,5.16,73.35,4.98,8.98
4.080,8.06,5.16,82.85,0.86,10.20
4.104,12.15,6.72,95.82,7.64,12.60
4.149,12.15,6.72,91.79,6.09,12.60
4.167,15.57,7.80,104.07,8.92,13.07
4.209,19.40,8.79,102.45,10.54,13.07
4.241,19.40,8.79,105.22,8.39,13.56
4.265,23.97,9.97,118.88,16.03,14.69
4.312,23.97,9.97,114.33,15.90,14.69
4.336,26.59,10.52,120.93,22.34,21.97
4.374,28.05,10.74,119.30,23.19,21.97
4.407,28.05,10.74,119.47,28.64,25.75
4.431,27.67,10.74,117.64,24.94,24.48
4.479,27.67,10.74,118.00,24.90,24.48
4.503,25.82,10.77,113.47,20.82,23.79
4.545,23.62,10.44,113.38,19.49,23.79
4.586,23.62,10.44,115.79,22.60,23.17
4.616,20.75,9.64,108.61,14.75,24.11
4.656,17.74,8.68,109.50,13.77,24.11
4.692,17.74,8.68,111.13,16.00,23.51
4.713,13.71,7.72,100.56,7.85,23.06
4.761,10.11,6.79,102.34,6.42,23.06
4.797,10.11,6.79,102.86,10.19,20.98
4.818,5.90,5.70,89.83,2.84,21.29
4.869,5.90,5.70,94.07,4.37,21.29
4.897,2.92,4.96,85.13,4.13,19.33
4.929,0.43,3.90,76.97,0.66,18.20
4.977,0.43,3.90,79.48,2.12,18.20
4.997,0.88,3.21,69.52,-0.90,14.46
5.036,1.41,2.74,70.77,-0.53,14.46
5.073,1.41,2.74,57.63,0.05,12.68
5.099,1.61,2.24,46.39,-2.51,8.14
5.150,1.75,1.83,46.81,-2.02,8.14
5.192,1.75,1.83,33.75,-3.08,3.51
5.215,2.39,1.32,22.33,-2.44,0.08
5.254,3.06,0.80,22.97,-2.38,0.08
5.291,3.06,0.80,14.88,-6.54,-2.45
5.323,3.38,0.31,5.80,-3.92,-4.48
5.366,3.32,0.63,5.94,-6.10,-4.48
5.400,3.32,0.63,0.29,-5.50,-7.41
5.428,4.00,0.06,2.50,-3.85,-8.63
5.479,4.00,0.06,1.62,-4.82,-8.63
5.502,4.58,0.34,1.56,-2.74,-8.13
5.540,4.40,0.47,0.70,-3.38,-8.13
5.577,4.40,0.47,1.26,-6.27,-9.20
5.601,3.84,0.35,4.04,-7.44,-9.41
5.649,3.17,0.28,4.12,-7.09,-9.41
5.687,3.17,0.28,7.74,-5.09,-8.05
5.709,2.79,0.27,14.76,-2.19,-4.93
5.759,2.84,0.22,14.30,-3.11,-4.93
5.793,2.84,0.22,25.46,-2.70,-2.68
5.821,2.60,0.07,37.29,-3.83,1.36
5.865,1.73,0.65,37.25,-4.36,1.36
5.901,1.73,0.65,51.24,-2.10,4.39
5.934,0.12,1.65,63.98,-1.40,8.65
5.980,3.47,3.81,63.60,0.91,8.65
6.014,3.47,3.81,73.14,-2.25,10.85
6.046,5.94,5.07,85.97,3.64,13.97
6.090,10.27,6.69,85.30,6.61,13.97
6.128,10.27,6.69,92.95,1.18,15.09
6.150,14.05,7.73,105.42,8.52,18.34
6.197,18.14,8.41,103.81,10.27,18.34
6.228,18.14,8.41,107.49,7.59,18.62
6.257,21.57,8.76,117.98,13.26,21.21
6.303,21.57,8.76,114.58,13.79,21.21
6.324,25.14,9.22,123.39,18.48,23.71
6.358,27.22,9.38,121.02,19.46,23.71
6.391,27.22,9.38,119.59,24.63,27.35
6.424,27.28,9.24,118.39,19.30,26.02
6.471,25.17,9.00,116.66,18.09,26.02
6.504,25.17,9.00,117.26,17.16,25.14
6.532,22.62,8.85,110.18,13.08,25.32
6.576,22.62,8.85,112.69,13.74,25.32
6.592,18.84,8.25,105.56,11.11,24.77
6.637,14.95,7.61,106.69,9.76,24.77
6.667,14.95,7.61,109.45,11.43,23.85
6.701,11.57,6.85,98.64,4.28,22.40
6.747,7.48,6.02,99.51,2.46,22.40
6.779,7.48,6.02,99.59,5.95,20.91
6.810,4.36,5.32,86.87,-1.05,18.95
6.858,1.67,4.43,88.59,-2.49,18.95
6.888,1.67,4.43,84.30,2.29,16.06
6.921,0.03,3.81,83.53,0.60,16.06
6.954,0.03,3.81,74.21,1.09,14.06
6.978,1.61,3.06,63.65,-3.54,10.73
7.024,1.69,2.68,65.47,-2.24,10.73
7.055,1.69,2.68,54.99,-4.87,8.39
7.095,2.57,2.15,54.86,-4.93,8.39
7.133,2.57,2.15,45.64,-5.01,6.40
7.153,2.44,1.82,37.36,-3.70,4.56
7.200,2.54,1.32,37.58,-3.31,4.56
7.234,2.54,1.32,25.37,-5.14,1.62
7.258,2.64,0.98,15.97,-3.58,-2.62
7.302,3.07,0.84,15.92,-3.49,-2.62
7.337,3.07,0.84,6.67,-6.34,-7.70
7.367,3.85,0.65,1.00,-3.63,-9.24
7.410,4.82,0.11,1.99,-3.15,-9.24
7.442,4.82,0.11,0.90,-3.02,-9.80
7.480,5.10,0.10,1.53,-3.21,-10.51
7.526,4.98,0.23,1.10,-3.39,-10.51
7.561,4.98,0.23,0.94,-3.63,-10.38
7.589,4.49,0.00,3.69,-4.54,-10.57
7.631,3.91,0.33,3.65,-4.51,-10.57
7.664,3.91,0.33,6.47,-1.18,-8.40
7.694,3.55,0.55,14.52,-1.09,-5.84
7.742,3.58,0.78,13.97,-1.41,-5.84
7.774,3.58,0.78,24.86,-0.95,-2.96
7.805,3.26,1.13,35.57,-1.57,-0.31
7.853,3.26,1.13,35.28,-0.60,-0.31
7.876,2.17,1.38,47.54,-1.28,3.38
7.916,0.33,2.20,47.10,-0.19,3.38
7.951,0.33,2.20,58.55,0.89,6.73
7.972,2.94,3.98,73.72,5.15,10.57
8.023,2.94,3.98,70.60,3.86,10.57
8.044,5.28,4.84,82.12,4.84,13.25
8.077,8.58,6.05,81.05,7.16,13.25
8.110,8.58,6.05,86.51,1.86,16.40
8.137,11.50,6.86,99.36,6.55,17.41
8.187,11.50,6.86,96.54,5.78,17.41
8.209,14.52,7.57,105.87,8.13,19.52
8.245,17.51,8.06,104.32,9.26,19.52
8.278,17.51,8.06,108.95,10.30,20.29
8.305,21.28,8.67,120.26,16.99,23.48
8.357,23.19,8.64,117.79,17.43,23.48
8.390,23.19,8.64,118.69,22.35,28.28
8.412,23.78,8.70,120.59,26.13,28.24
8.464,23.78,8.70,120.01,26.11,28.24
8.487,22.37,8.47,116.15,18.74,26.24
8.521,20.38,8.63,113.23,16.34,26.57
8.568,20.38,8.63,115.19,16.67,26.57
8.587,17.44,8.35,110.92,14.51,26.65
8.632,14.87,7.83,112.15,13.75,26.65
8.668,14.87,7.83,112.52,15.19,26.35
8.690,11.36,7.02,104.12,8.90,24.94
8.742,11.36,7.02,107.64,9.87,24.94
8.767,8.33,6.23,98.96,6.79,23.38
8.803,4.58,5.39,93.01,4.22,21.97
8.852,2.36,4.68,95.61,3.47,21.97
8.890,2.36,4.68,92.12,6.20,19.15
8.913,0.13,3.85,79.73,-0.26,17.67
8.969,0.82,3.07,72.70,-1.34,15.36
9.012,1.17,2.65,73.40,-1.36,15.36
9.038,1.17,2.65,63.23,-0.05,13.37
9.066,1.27,2.22,63.50,-0.14,13.37
9.094,1.27,2.22,50.48,-2.14,9.30
9.123,1.50,1.79,50.69,-1.91,9.30
9.148,1.50,1.79,40.03,-2.53,5.42
9.178,1.28,1.80,40.19,-1.62,5.42
9.205,1.28,1.80,27.18,-3.15,0.89
9.233,1.44,1.76,27.14,-1.92,0.89
9.259,1.44,1.76,16.26,-2.03,-1.88
9.287,1.77,1.52,16.25,-1.12,-1.88
9.314,1.77,1.52,5.12,-2.39,-5.29
9.348,2.08,1.53,4.89,-2.50,-5.29
9.378,2.08,1.53,2.31,-0.78,-8.27
9.406,2.80,1.00,5.16,4.47,-8.36
9.449,2.80,1.00,4.34,3.47,-8.36
9.469,3.11,0.32,4.16,1.12,-9.03
9.513,2.92,0.11,3.46,0.61,-9.03
9.544,2.92,0.11,3.34,-0.50,-8.68
9.577,1.97,0.33,1.63,-3.00,-7.93
9.625,1.97,0.33,1.96,-2.23,-7.93
9.643,1.35,0.36,2.17,-2.45,-7.75
9.677,1.04,0.08,2.01,-1.59,-7.75
9.709,1.04,0.08,7.02,0.35,-5.09
9.743,0.67,0.11,7.29,1.45,-5.09
9.775,0.67,0.11,14.09,1.77,-2.24
9.801,0.33,0.57,23.42,3.90,0.69
9.848,0.25,0.93,22.90,3.15,0.69
9.881,0.25,0.93,36.92,1.34,4.63
9.909,0.13,1.21,49.03,0.17,6.58
9.955,0.13,1.21,48.70,0.59,6.58
9.973,2.23,1.97,63.88,2.96,10.54
10.015,4.75,2.85,62.88,4.51,10.54
10.046,4.75,2.85,70.90,2.41,13.42
10.077,8.37,3.98,72.22,5.42,13.42
10.113,8.37,3.98,81.19,4.33,16.11
10.137,10.74,4.67,95.02,9.28,17.75
10.181,14.35,5.58,94.15,11.54,17.75
10.212,14.35,5.58,98.28,7.39,18.72
10.243,16.96,6.19,110.80,11.49,20.46
10.294,16.96,6.19,108.26,11.09,20.46
10.315,20.51,7.26,117.90,16.70,22.91
