Time(s),Shoulder_Flexion_Deg,Shoulder_Abduction_Deg,Elbow_Flexion_Deg,Elbow_Pronosupination_Deg,Wrist_Flexion_Deg
0.000,2.83,0.55,1.13,11.39,0.38
0.040,2.48,0.60,1.13,10.59,0.32
0.094,2.48,0.60,1.46,10.71,0.32
0.119,2.17,0.68,1.19,10.26,0.19
0.147,1.92,0.68,1.12,10.34,0.15
0.200,1.92,0.68,1.36,10.35,0.15
0.235,1.66,0.71,0.94,9.53,0.00
0.261,1.53,0.82,1.15,8.15,-0.20
0.311,1.53,0.82,1.29,8.55,-0.20
0.332,1.41,1.02,1.37,7.89,-0.33
0.367,1.34,1.20,1.53,7.92,-0.48
0.416,1.34,1.20,1.62,8.34,-0.48
0.435,1.30,1.28,1.60,8.20,-0.53
0.477,1.31,1.30,1.67,8.34,-0.52
0.511,1.31,1.30,1.61,8.81,-0.57
0.534,1.36,1.30,1.71,8.48,-0.67
0.583,1.36,1.30,1.66,8.63,-0.67
0.604,1.47,1.28,1.81,8.79,-0.71
0.641,1.61,1.25,1.80,8.86,-0.71
0.677,1.61,1.25,1.59,8.73,-0.74
0.698,1.68,1.27,1.75,8.68,-0.83
0.746,1.68,1.27,1.68,8.58,-0.83
0.765,1.70,1.28,1.74,8.30,-1.08
0.808,1.72,1.27,1.72,8.34,-1.08
0.848,1.72,1.27,1.70,7.92,-1.35
0.866,1.78,1.17,1.61,8.00,-1.46
0.915,1.78,1.17,1.54,7.79,-1.46
0.934,1.80,1.10,1.51,7.28,-1.42
0.970,1.80,1.10,1.49,7.24,-1.42
1.002,1.80,1.10,1.53,7.31,-1.41
1.028,1.78,1.09,1.59,7.34,-1.37
1.076,1.78,1.09,1.60,7.32,-1.37
1.100,1.79,1.07,1.61,7.33,-1.36
1.138,1.82,1.04,1.60,7.34,-1.36
1.178,1.82,1.04,1.56,7.26,-1.32
1.200,1.81,1.03,1.56,7.31,-1.33
1.247,1.81,1.03,1.56,7.21,-1.33
1.284,1.81,1.03,1.60,7.27,-1.39
1.307,1.81,1.02,1.59,7.14,-1.38
1.358,1.83,1.00,1.59,7.17,-1.38
1.394,1.83,1.00,1.58,7.36,-1.42
1.417,1.85,0.99,1.61,7.07,-1.43
1.464,1.85,0.99,1.58,7.22,-1.43
1.482,1.76,0.90,1.52,7.30,-1.53
1.524,1.00,0.80,1.14,6.03,-1.53
1.561,1.00,0.80,1.24,3.30,-3.34
1.586,3.65,2.70,13.93,-17.30,-15.24
1.635,12.51,5.59,17.97,-12.90,-15.24
1.668,12.51,5.59,10.59,-17.15,-11.17
1.690,26.28,11.71,39.27,-8.34,-1.83
1.735,26.28,11.71,24.74,-9.71,-1.83
1.752,39.72,18.82,39.67,-5.92,2.47
1.796,39.72,18.82,26.12,-5.99,2.47
1.813,54.92,29.88,39.54,-3.44,8.38
1.861,67.36,45.45,33.43,5.39,8.38
1.898,67.36,45.45,17.92,-9.01,12.23
1.914,75.93,62.52,24.22,-12.16,14.80
1.957,75.93,62.52,21.58,-6.34,14.80
1.971,82.10,75.91,25.38,-21.59,13.17
2.014,82.10,75.91,26.29,-14.77,13.17
2.024,83.76,78.74,31.93,-56.93,0.41
2.063,83.76,78.74,31.52,-49.79,0.41
2.076,79.79,68.59,35.90,-59.44,1.87
2.116,79.79,68.59,31.45,-60.87,1.87
2.128,73.37,54.20,35.39,-49.50,0.50
2.170,73.37,54.20,30.81,-55.97,0.50
2.192,62.69,35.46,37.50,-56.96,-1.49
2.237,62.69,35.46,30.27,-63.87,-1.49
2.256,47.92,19.72,35.66,-57.29,-4.55
