Time(s),Shoulder_Flexion_Deg,Shoulder_Abduction_Deg,Elbow_Flexion_Deg,Elbow_Pronosupination_Deg,Wrist_Flexion_Deg
0.000,1.32,4.42,2.39,2.39,2.63
0.043,1.34,4.46,2.39,2.01,2.63
0.111,1.37,4.46,2.40,2.05,2.63
0.154,1.42,4.46,2.50,2.20,2.56
0.195,1.42,4.46,2.59,2.33,2.51
0.210,1.41,4.49,2.58,2.13,2.50
0.248,1.43,4.52,2.58,2.18,2.50
0.276,1.43,4.52,2.60,2.30,2.49
0.301,1.48,4.56,2.46,2.23,2.49
0.348,1.48,4.56,2.51,2.32,2.49
0.368,1.52,4.60,2.53,1.86,2.44
0.413,1.52,4.60,2.57,2.08,2.44
0.431,1.52,4.63,2.62,1.70,2.39
0.473,1.48,4.65,2.73,1.95,2.33
0.520,1.48,4.65,2.74,2.17,2.33
0.538,1.40,4.70,2.76,2.00,2.31
0.587,1.32,4.73,2.84,2.09,2.31
0.621,1.32,4.73,2.82,2.63,2.29
0.640,1.22,4.77,2.92,2.30,2.30
0.687,1.22,4.77,2.93,2.53,2.30
0.706,1.16,4.75,2.96,2.59,2.25
0.749,1.16,4.75,2.93,2.65,2.25
0.781,1.16,4.75,2.88,2.74,2.25
0.809,1.16,4.75,2.89,2.94,2.25
0.856,1.16,4.75,2.89,2.79,2.25
0.876,1.16,4.76,2.85,2.91,2.26
0.919,1.17,4.75,2.88,2.98,2.32
0.968,1.17,4.75,2.87,2.82,2.32
0.983,1.19,4.74,2.86,2.86,2.36
1.024,1.23,4.70,2.86,3.04,2.35
1.070,1.23,4.70,2.83,2.84,2.35
1.091,1.25,4.64,2.86,3.08,2.36
1.135,1.27,4.59,2.83,3.13,2.36
1.166,1.27,4.59,2.73,2.64,2.41
1.192,1.31,4.52,2.74,3.03,2.42
1.240,1.31,4.52,2.68,2.81,2.42
1.260,1.36,4.46,2.70,2.86,2.45
1.303,1.39,4.40,2.68,2.66,2.47
1.348,1.39,4.40,2.62,2.57,2.47
1.370,1.38,4.37,2.64,2.65,2.46
1.411,1.38,4.32,2.64,2.70,2.51
1.461,1.38,4.32,2.59,2.59,2.51
1.482,1.35,4.03,2.89,3.12,2.50
1.521,1.42,3.40,3.47,1.94,1.41
1.569,1.42,3.40,2.99,0.66,1.41
1.588,1.64,2.40,6.34,3.98,1.59
1.633,1.88,1.53,6.72,3.44,1.59
1.667,1.88,1.53,11.40,-0.24,0.85
1.691,2.35,1.38,20.17,-3.19,-1.72
1.739,2.35,1.38,19.71,-3.30,-1.72
1.760,2.80,1.61,31.64,-2.33,0.67
1.803,4.44,1.99,43.08,-4.69,3.45
1.849,4.44,1.99,41.44,-5.03,3.45
1.869,8.03,2.49,56.08,-14.09,6.81
1.911,11.17,2.75,61.47,-16.71,9.06
1.964,11.17,2.75,58.35,-17.04,9.06
1.987,14.43,3.56,65.69,-8.65,11.59
2.029,15.54,4.33,65.24,24.74,20.47
2.082,16.07,4.97,64.16,24.39,20.47
2.118,16.07,4.97,65.70,22.89,18.05
2.137,15.59,4.77,65.85,10.30,15.78
2.190,15.59,4.77,66.32,10.60,15.78
2.212,14.76,4.65,64.92,16.25,16.11
2.250,13.79,4.77,64.72,11.92,14.23
2.308,13.32,5.19,65.75,28.56,16.56
2.349,13.05,5.66,66.43,46.04,18.06
2.396,13.05,5.66,66.72,45.23,18.06
2.418,12.98,5.84,67.18,52.44,17.80
2.467,12.27,4.84,67.11,56.45,19.57
2.520,12.27,4.84,67.77,56.97,19.57
2.543,12.13,4.75,64.51,64.37,20.12
2.579,11.52,4.79,62.06,73.62,17.59
2.634,11.12,5.02,62.94,72.14,17.14
2.690,11.88,5.14,65.94,47.61,17.11
2.743,14.10,4.47,71.48,16.82,16.86
2.798,14.10,4.47,69.23,17.84,16.86
2.822,16.38,3.47,75.38,-25.20,15.09
2.855,18.63,1.90,79.78,-49.27,16.04
2.907,19.18,0.95,78.63,-75.14,14.47
2.955,19.18,0.95,78.05,-73.64,14.47
2.975,18.71,0.31,76.96,-85.15,14.71
3.016,17.84,0.28,74.43,-89.03,15.19
3.069,17.84,0.28,75.32,-88.21,15.19
3.091,16.11,0.66,69.06,-89.82,12.79
3.129,15.08,0.83,67.12,-87.90,11.58
3.180,15.08,0.83,68.15,-87.93,11.58
3.202,14.81,0.29,67.13,-84.15,11.72
3.238,15.44,0.45,68.58,-76.77,9.73
3.288,15.44,0.45,67.96,-78.15,9.73
3.313,16.86,0.98,69.59,-59.27,12.17
3.348,17.96,2.05,69.87,-33.54,16.88
3.402,17.96,2.05,68.76,-35.00,16.88
3.431,18.55,3.88,70.56,-12.70,20.40
3.459,18.55,5.33,71.50,17.14,22.80
3.512,18.55,5.33,71.44,15.46,22.80
3.543,17.94,6.59,71.04,38.79,21.11
3.565,17.44,7.46,70.30,67.05,15.26
3.617,17.44,7.46,70.79,66.10,15.26
3.657,16.04,7.43,66.72,79.70,15.26
3.713,15.06,7.14,65.67,82.43,13.85
3.741,14.27,6.97,64.78,81.67,14.33
3.778,14.30,6.61,66.35,73.13,13.51
3.831,14.30,6.61,66.30,73.51,13.51
3.853,15.41,6.23,69.14,56.08,14.99
3.902,17.08,5.47,71.82,20.44,18.16
3.970,19.16,3.59,76.09,-9.63,18.48
4.000,20.48,1.72,77.77,-45.22,17.32
4.041,20.48,1.72,76.38,-42.81,17.32
4.057,20.36,1.03,76.71,-68.00,15.70
4.097,20.36,1.03,76.85,-66.71,15.70
4.112,18.72,0.72,73.68,-81.56,15.69
4.151,18.72,0.72,75.33,-80.71,15.69
4.166,17.18,0.60,70.74,-83.81,14.52
4.206,17.18,0.60,72.28,-83.52,14.52
4.226,15.25,0.28,68.19,-85.38,15.21
4.266,15.25,0.28,70.13,-85.32,15.21
4.278,14.31,0.49,68.03,-81.90,14.78
