Time(s),Shoulder_Flexion_Deg,Shoulder_Abduction_Deg,Elbow_Flexion_Deg,Elbow_Pronosupination_Deg,Wrist_Flexion_Deg
0.000,1.13,1.68,0.69,1.34,0.19
0.039,1.13,1.68,0.35,1.26,0.13
0.072,1.26,1.75,0.13,1.33,0.14
0.109,1.39,1.71,0.08,1.28,0.13
0.158,1.38,1.61,0.09,1.23,0.12
0.192,1.38,1.61,0.24,1.44,0.17
0.209,1.34,1.49,0.43,1.22,0.21
0.255,1.34,1.49,0.34,1.30,0.21
0.274,1.21,1.37,0.67,1.16,0.29
0.322,1.12,1.25,0.57,1.25,0.29
0.359,1.12,1.25,0.62,1.34,0.27
0.384,1.00,1.14,0.85,1.25,0.21
0.441,0.94,1.08,0.74,1.19,0.21
0.478,0.94,1.08,0.65,1.39,0.08
0.503,0.96,1.11,0.63,1.49,0.22
0.546,0.97,1.22,0.75,1.76,0.22
0.583,0.97,1.22,0.70,1.46,0.27
0.606,0.97,1.36,0.85,2.15,0.27
0.656,0.95,1.48,0.96,2.07,0.27
0.696,0.95,1.48,0.69,1.35,0.26
0.719,0.95,1.53,0.66,1.64,0.26
0.763,0.97,1.57,0.67,1.70,0.26
0.798,0.97,1.57,0.63,1.37,0.30
0.819,0.94,1.60,0.77,1.53,0.38
0.867,0.94,1.60,0.75,1.43,0.38
0.888,0.92,1.64,0.86,1.49,0.37
0.932,0.90,1.67,0.88,1.44,0.37
0.971,0.90,1.67,0.78,1.39,0.39
0.997,0.97,1.75,0.80,1.71,0.41
1.040,1.02,1.78,0.86,1.59,0.41
1.089,1.02,1.78,0.86,1.75,0.41
1.114,1.11,1.78,0.64,1.79,0.34
1.147,1.15,1.78,0.69,1.88,0.34
1.182,1.15,1.78,0.79,1.95,0.42
1.211,1.15,1.75,0.80,1.96,0.44
1.256,1.15,1.78,0.81,1.93,0.44
1.290,1.15,1.78,0.84,2.05,0.44
1.315,1.16,1.88,0.88,2.40,0.47
1.367,1.16,1.88,0.89,2.20,0.47
