Time(s),Shoulder_Flexion_Deg,Shoulder_Abduction_Deg,Elbow_Flexion_Deg,Elbow_Pronosupination_Deg,Wrist_Flexion_Deg
0.0,8.35,10.87,74.36,-32.65,-17.4
0.014,8.35,10.86,74.38,-32.62,-17.39
0.052,8.35,10.86,74.37,-32.59,-17.39
0.069,8.35,10.86,74.36,-32.47,-17.34
0.11,8.35,10.86,74.36,-32.45,-17.34
0.126,8.3,10.88,74.27,-32.24,-17.17
0.17,8.3,10.88,74.32,-32.25,-17.17
0.196,8.22,10.86,74.17,-32.37,-17.2
0.232,8.22,10.86,74.24,-32.37,-17.2
0.24,8.18,10.84,74.22,-32.26,-17.21
0.278,8.18,10.84,74.25,-32.32,-17.21
0.291,8.19,10.83,74.31,-32.28,-17.24
0.329,8.19,10.83,74.3,-32.31,-17.24
0.348,8.2,10.8,74.32,-32.21,-17.24
0.385,8.2,10.8,74.29,-32.27,-17.24
0.403,8.23,10.77,74.32,-32.2,-17.21
0.442,8.23,10.77,74.28,-32.25,-17.21
0.461,8.25,10.73,74.31,-32.19,-17.2
0.5,8.25,10.73,74.28,-32.25,-17.2
0.52,8.27,10.71,74.3,-32.18,-17.18
0.562,8.27,10.71,74.27,-32.23,-17.18
0.575,8.29,10.68,74.27,-32.21,-17.18
0.611,8.29,10.68,74.24,-32.25,-17.18
0.628,8.29,10.66,74.23,-32.27,-17.18
0.665,8.29,10.66,74.21,-32.29,-17.18
0.682,8.29,10.67,74.19,-32.33,-17.24
0.72,8.29,10.67,74.2,-32.34,-17.24
0.739,8.29,10.67,74.19,-32.4,-17.24
0.778,8.29,10.67,74.19,-32.4,-17.24
0.794,8.29,10.67,74.19,-32.51,-17.32
0.838,8.29,10.67,74.18,-32.51,-17.32
0.853,8.29,10.66,74.18,-32.7,-17.41
0.894,8.29,10.66,74.18,-32.72,-17.41
0.909,8.31,10.68,74.24,-32.68,-17.44
0.948,8.31,10.68,74.22,-32.67,-17.44
0.961,8.32,10.69,74.23,-32.63,-17.44
0.999,8.32,10.69,74.23,-32.64,-17.44
1.017,8.33,10.69,74.23,-32.69,-17.53
1.052,8.33,10.69,74.23,-32.69,-17.53
1.071,8.33,10.69,74.23,-32.73,-17.53
1.114,8.33,10.69,74.23,-32.73,-17.53
1.129,8.33,10.69,74.24,-32.91,-17.54
1.174,8.33,10.69,74.24,-32.91,-17.54
1.19,8.32,10.7,74.24,-33.11,-17.46
1.234,8.32,10.7,74.24,-33.1,-17.46
1.253,8.32,10.7,74.25,-33.13,-17.33
1.292,8.32,10.7,74.25,-33.13,-17.33
1.306,8.32,10.7,74.24,-33.16,-17.35
1.349,8.32,10.7,74.24,-33.16,-17.35
1.364,8.33,10.7,74.26,-33.49,-17.51
1.408,8.33,10.7,74.26,-33.48,-17.51
1.423,8.33,10.7,74.29,-34.17,-17.68
1.465,8.34,10.7,74.29,-34.16,-17.68
1.492,8.34,10.7,74.35,-35.05,-17.86
1.521,8.36,10.7,74.4,-35.75,-18.15
1.57,8.36,10.7,74.39,-35.78,-18.15
1.585,8.4,10.7,74.45,-35.34,-18.0
1.628,8.4,10.72,74.41,-35.33,-18.0
1.653,8.4,10.72,74.37,-33.71,-17.39
1.682,8.41,10.73,74.34,-29.58,-16.15
1.721,8.41,10.73,74.33,-29.58,-16.15
1.744,8.4,10.8,74.38,-29.89,-16.42
1.791,8.4,10.8,74.42,-29.89,-16.42
1.803,8.49,10.75,74.5,-30.88,-16.96
1.838,8.49,10.75,74.4,-31.0,-16.96
1.846,8.54,10.74,74.37,-30.42,-16.69
1.892,8.54,10.74,74.33,-30.47,-16.69
