Time(s),Shoulder_Flexion_Deg,Shoulder_Abduction_Deg,Elbow_Flexion_Deg,Elbow_Pronosupination_Deg,Wrist_Flexion_Deg
0.000,2.78,2.01,3.32,-23.80,-4.31s
0.029,2.78,2.01,3.29,-23.75,-4.29s
0.057,2.79,2.00,3.30,-23.69,-4.29s
0.082,2.79,2.00,3.30,-23.69,-4.31s
0.104,2.78,1.93,3.36,-23.72,-4.31s
0.137,2.78,1.93,3.21,-23.32,-4.29s
0.158,2.81,1.97,3.16,-23.23,-4.29s
0.192,2.81,1.97,3.26,-23.27,-4.30s
0.214,2.80,1.99,3.24,-23.27,-4.30s
0.248,2.80,1.99,3.27,-23.22,-4.29s
0.270,2.78,1.99,3.29,-23.23,-4.29s
0.303,2.78,1.99,3.27,-23.26,-4.31s
0.325,2.73,2.00,3.30,-23.29,-4.31s
0.357,2.73,2.00,3.29,-23.34,-4.32s
0.380,2.68,1.99,3.33,-23.43,-4.32s
0.413,2.68,1.99,3.28,-23.30,-4.32s
0.436,2.66,1.99,3.29,-23.28,-4.32s
0.467,2.66,1.99,3.29,-23.40,-4.34s
0.487,2.67,1.96,3.32,-23.37,-4.34s
0.522,2.67,1.96,3.25,-23.42,-4.36s
0.544,2.66,1.94,3.28,-23.43,-4.36s
0.577,2.66,1.94,3.24,-23.39,-4.38s
0.600,2.65,1.93,3.25,-23.38,-4.38s
0.633,2.65,1.93,3.23,-23.39,-4.37s
0.658,2.66,1.92,3.24,-23.36,-4.37s
0.689,2.66,1.92,3.20,-23.40,-4.35s
0.710,2.67,1.90,3.21,-23.46,-4.35s
0.744,2.67,1.90,3.18,-23.35,-4.36s
0.765,2.66,1.89,3.19,-23.37,-4.36s
0.797,2.66,1.89,3.17,-23.36,-4.35s
0.821,2.66,1.88,3.17,-23.48,-4.35s
0.852,2.66,1.88,3.18,-23.33,-4.37s
0.876,2.67,1.89,3.17,-23.35,-4.37s
0.908,2.67,1.89,3.19,-23.37,-4.38s
0.931,2.66,1.89,3.20,-23.39,-4.38s
0.964,2.66,1.89,3.18,-23.42,-4.37s
0.986,2.66,1.88,3.18,-23.50,-4.37s
1.019,2.66,1.88,3.18,-23.42,-4.39s
1.043,2.65,1.91,3.17,-23.43,-4.39s
1.075,2.65,1.91,3.19,-23.57,-4.38s
1.099,2.63,1.91,3.20,-23.52,-4.38s
