Time(s),Shoulder_Flexion_Deg,Shoulder_Abduction_Deg,Elbow_Flexion_Deg,Elbow_Pronosupination_Deg,Wrist_Flexion_Deg
0.000,0.14,0.30,0.97,1.62,-3.54
0.040,0.14,0.30,0.94,1.62,-3.54
0.052,0.12,0.29,0.96,1.77,-3.53
0.093,0.12,0.29,0.93,1.69,-3.53
0.115,0.12,0.28,0.90,1.64,-3.53
0.159,0.12,0.28,0.90,1.61,-3.53
0.169,0.12,0.29,0.91,1.60,-3.53
0.216,0.12,0.29,0.91,1.60,-3.53
0.229,0.14,0.32,0.85,1.61,-3.52
0.286,0.14,0.32,0.89,1.56,-3.52
0.300,0.17,0.33,0.88,1.54,-3.53
0.338,0.17,0.33,0.92,1.56,-3.53
0.372,0.17,0.33,0.94,1.44,-3.52
0.387,0.17,0.33,0.94,1.44,-3.52
0.435,0.17,0.33,0.94,1.44,-3.52
0.453,0.17,0.33,0.94,1.44,-3.54
0.515,0.17,0.33,0.94,1.41,-3.54
0.526,0.15,0.32,0.97,1.25,-3.53
0.564,0.03,0.16,1.16,1.11,-3.53
0.609,0.03,0.16,0.93,1.36,-3.53
0.622,0.07,0.11,0.78,1.46,-3.57
0.672,0.15,0.00,0.83,1.30,-3.57
0.706,0.15,0.00,0.58,1.76,-3.59
0.720,0.27,0.17,0.77,1.35,-3.63
0.767,0.27,0.17,0.57,1.62,-3.63
0.781,0.50,0.50,0.75,1.41,-3.65
0.821,0.50,0.50,0.42,1.72,-3.65
0.830,0.66,0.67,0.25,1.59,-3.68
0.881,0.66,0.67,0.24,1.70,-3.68
0.902,0.86,0.72,0.15,1.82,-3.62
0.951,1.40,0.53,0.35,1.95,-3.62
0.979,1.40,0.53,1.12,1.20,-3.73
0.994,2.10,0.49,2.10,2.24,-4.81
1.044,2.10,0.49,2.56,1.25,-4.81
1.057,2.61,1.56,6.05,1.27,-7.05
1.103,2.61,1.56,5.55,-1.04,-7.05
1.125,3.35,3.34,9.41,-2.91,-10.07
1.158,4.58,6.43,11.46,-3.83,-10.07
1.197,4.58,6.43,9.69,-20.72,-15.45
1.219,6.19,9.90,18.11,-23.29,-18.56
1.262,6.19,9.90,15.48,-24.67,-18.56
1.275,8.81,15.01,23.60,-22.74,-20.00
1.316,8.81,15.01,19.65,-26.31,-20.00
1.325,11.16,19.98,25.38,-24.45,-21.07
1.365,11.16,19.98,21.72,-28.16,-21.07
1.382,13.95,26.67,30.55,-23.20,-21.61
1.420,13.95,26.67,25.59,-27.26,-21.61
1.436,16.82,33.66,32.37,-24.76,-21.48
1.474,16.82,33.66,27.45,-27.21,-21.48
1.490,19.23,39.79,34.36,-24.85,-20.90
1.529,19.23,39.79,30.01,-25.78,-20.90
1.545,22.65,47.31,37.44,-24.69,-20.36
1.582,22.65,47.31,32.14,-23.70,-20.36
1.600,25.69,53.17,38.15,-22.96,-19.98
1.638,25.69,53.17,34.05,-21.20,-19.98
1.657,29.63,59.66,39.34,-18.34,-19.25
1.697,29.63,59.66,34.69,-16.45,-19.25
1.712,33.14,64.49,38.36,-14.55,-18.53
1.750,33.14,64.49,34.83,-13.30,-18.53
1.767,37.65,69.38,37.59,-11.11,-17.64
1.804,37.65,69.38,34.01,-9.79,-17.64
1.822,42.01,72.74,35.99,-10.29,-16.87
1.861,42.01,72.74,33.67,-8.73,-16.87
1.877,46.46,75.72,34.71,-7.85,-16.42
1.914,46.46,75.72,32.54,-6.92,-16.42
1.933,49.61,77.43,32.88,-8.04,-16.18
1.972,49.61,77.43,31.68,-7.47,-16.18
1.989,52.37,78.74,31.46,-7.58,-15.67
2.028,52.37,78.74,30.57,-7.53,-15.67
2.041,52.93,79.14,30.26,-9.13,-15.36
2.080,52.93,79.14,29.85,-9.07,-15.36
2.099,52.38,78.99,30.02,-10.10,-15.66
2.136,52.38,78.99,30.04,-9.93,-15.66
2.153,49.14,77.64,29.64,-12.15,-15.45
2.193,49.14,77.64,30.39,-11.99,-15.45
2.211,43.90,75.04,28.52,-13.99,-15.09
2.250,43.90,75.04,29.91,-14.07,-15.09
2.263,35.90,70.29,25.83,-14.49,-13.96
2.301,35.90,70.29,27.78,-16.62,-13.96
2.319,29.83,65.25,23.13,-16.44,-12.24
2.354,29.83,65.25,25.03,-18.69,-12.24
2.372,23.45,58.16,19.48,-20.76,-10.96
2.409,23.45,58.16,21.54,-23.66,-10.96
2.430,19.63,52.06,15.95,-23.83,-8.65
2.469,19.63,52.06,17.80,-25.79,-8.65
2.484,16.00,44.69,13.32,-26.79,-7.36
2.520,16.00,44.69,15.21,-27.86,-7.36
2.538,13.50,38.56,11.71,-26.07,-6.55
2.574,13.50,38.56,13.10,-26.72,-6.55
2.593,11.04,31.48,9.67,-31.36,-6.21
2.632,11.04,31.48,11.44,-29.05,-6.21
2.649,9.67,26.06,7.52,-28.82,-6.16
2.686,9.67,26.06,9.37,-26.64,-6.16
2.702,8.24,19.12,4.89,-28.31,-6.16
2.742,8.24,19.12,7.47,-25.29,-6.16
2.760,7.35,13.89,3.91,-25.37,-6.24
2.799,7.35,13.89,6.83,-21.99,-6.24
2.814,6.53,7.84,1.73,-22.53,-6.25
2.851,6.53,7.84,6.45,-18.03,-6.25
2.868,5.77,2.89,1.50,-19.35,-5.82
2.904,5.77,2.89,6.46,-14.03,-5.82
2.923,5.66,0.43,3.92,-11.49,-4.97
2.962,5.66,0.43,7.20,-7.61,-4.97
2.980,5.45,2.54,3.19,-6.29,-3.05
3.018,5.45,2.54,5.30,-3.60,-3.05
3.033,4.87,3.38,3.93,2.65,-2.48
3.070,4.87,3.38,4.64,3.34,-2.48
3.088,5.32,3.22,6.10,7.63,-1.20
3.128,5.32,3.22,5.98,7.09,-1.20
3.144,6.32,2.13,8.15,6.03,0.09
3.181,6.32,2.13,7.24,5.56,0.10
3.199,7.25,0.64,12.89,6.72,-2.30
3.235,7.25,0.64,10.45,5.90,-2.30
3.253,8.29,4.20,15.80,5.78,-3.71
3.290,8.29,4.20,12.60,3.08,-3.71
3.308,10.72,9.71,21.34,2.30,-5.63
3.347,10.72,9.71,16.50,-0.87,-5.63
3.364,13.26,15.44,23.69,-1.88,-7.78
3.403,13.26,15.44,18.86,-4.59,-7.78
3.420,16.50,22.88,28.99,-0.85,-7.57
3.458,16.50,22.88,22.90,-4.56,-7.57
3.476,19.17,29.33,29.61,-6.07,-11.01
3.516,19.17,29.33,24.60,-8.38,-11.01
3.531,22.39,37.30,34.06,-9.83,-12.12
3.571,22.39,37.30,27.95,-10.22,-12.12
3.587,25.33,44.24,33.53,-11.14,-12.47
3.626,25.33,44.24,28.31,-11.29,-12.47
3.640,29.14,52.37,37.19,-11.10,-12.62
3.679,29.14,52.37,30.89,-9.99,-12.62
3.697,33.09,58.85,36.53,-10.72,-12.45
3.733,33.09,58.85,31.63,-8.67,-12.45
3.751,38.37,65.74,38.52,-8.64,-11.54
3.788,38.37,65.74,33.13,-6.46,-11.54
3.806,44.31,71.04,36.81,-7.44,-12.93
3.842,44.31,71.04,32.91,-5.25,-12.93
3.864,49.17,75.41,37.32,-5.42,-12.18
3.900,49.17,75.41,33.48,-3.73,-12.18
3.918,52.35,78.25,35.09,-4.07,-12.45
3.954,52.35,78.25,32.21,-2.99,-12.45
3.971,55.00,79.87,32.52,-3.04,-12.04
4.010,55.00,79.87,31.01,-2.77,-12.04
4.027,54.81,80.39,30.75,-3.15,-11.45
4.065,54.81,80.39,29.82,-3.34,-11.45
4.082,53.22,80.13,29.19,-4.05,-11.29
4.121,53.22,80.13,29.00,-4.43,-11.29
4.136,49.55,78.99,28.29,-5.51,-11.10
4.172,49.55,78.99,28.66,-5.89,-11.10
4.193,45.05,77.17,26.76,-6.01,-10.76
4.230,45.05,77.17,27.61,-6.94,-10.76
4.247,38.60,73.64,24.95,-9.33,-10.64
4.286,38.60,73.64,26.74,-10.39,-10.64
4.301,33.25,69.52,22.65,-10.28,-11.08
4.339,33.25,69.52,24.63,-11.89,-11.08
4.355,26.45,63.06,19.56,-13.68,-8.88
4.390,26.45,63.06,21.62,-16.49,-8.88
4.412,21.45,56.70,16.89,-18.25,-8.70
4.450,21.45,56.70,18.48,-19.93,-8.70
4.465,17.74,49.21,13.02,-22.54,-6.14
4.503,17.74,49.21,15.17,-24.04,-6.14
4.521,14.98,43.24,11.92,-25.28,-7.12
4.558,14.98,43.24,13.34,-25.82,-7.12
4.576,12.31,36.29,9.56,-27.07,-4.93
4.612,12.31,36.29,11.01,-27.26,-4.93
4.632,10.49,31.06,8.42,-28.34,-6.26
4.671,10.49,31.06,9.74,-27.66,-6.26
4.687,9.18,25.07,6.39,-31.98,-4.88
4.723,9.18,25.07,8.57,-28.94,-4.88
4.744,7.32,19.19,5.21,-31.57,-6.30
4.781,7.32,19.19,6.33,-27.91,-6.30
