Time(s),Shoulder_Flexion_Deg,Shoulder_Abduction_Deg,Elbow_Flexion_Deg,Elbow_Pronosupination_Deg,Wrist_Flexion_Deg
0.000,0.31,0.00,0.55,-0.60,-0.79
0.031,0.31,0.07,0.45,-0.57,-0.78
0.065,0.30,0.16,0.41,-0.64,-0.82
0.109,0.32,0.18,0.32,-0.53,-0.82
0.140,0.32,0.18,0.36,-0.30,-0.86
0.166,0.32,0.17,0.35,-0.34,-0.87
0.226,0.32,0.17,0.35,-0.30,-0.87
0.245,0.32,0.18,0.34,-0.21,-0.86
0.277,0.32,0.19,0.33,-0.26,-0.86
0.307,0.32,0.19,0.34,-0.17,-0.84
0.331,0.34,0.19,0.29,-0.17,-0.84
0.375,0.34,0.19,0.32,-0.18,-0.84
0.394,0.35,0.19,0.31,-0.25,-0.82
0.442,0.35,0.18,0.32,-0.19,-0.82
0.474,0.35,0.18,0.34,-0.15,-0.86
0.498,0.34,0.19,0.33,-0.21,-0.86
0.542,0.34,0.19,0.33,-0.17,-0.86
0.558,0.34,0.19,0.34,-0.17,-0.87
0.605,0.34,0.19,0.34,-0.17,-0.87
0.621,0.32,0.21,0.37,-0.38,-0.88
0.664,0.32,0.20,0.35,-0.25,-0.88
0.694,0.32,0.20,0.33,-0.23,-0.88
0.718,0.29,0.24,0.36,-0.26,-0.87
0.764,0.29,0.24,0.31,-0.26,-0.87
0.782,0.28,0.24,0.32,-0.14,-0.85
0.827,0.28,0.24,0.31,-0.17,-0.85
0.858,0.28,0.24,0.35,-0.27,-0.82
0.887,0.25,0.24,0.44,-0.35,-0.88
0.938,0.25,0.24,0.42,-0.30,-0.88
0.956,0.21,0.21,0.53,-0.08,-1.24
0.996,0.20,0.11,0.55,0.10,-1.24
1.026,0.20,0.11,0.69,-0.39,-2.05
1.048,0.09,0.00,1.09,0.37,-1.96
1.098,0.09,0.00,1.01,0.18,-1.96
1.115,0.21,0.08,1.20,-0.28,-2.35
1.159,0.91,0.93,1.60,1.86,-2.35
1.195,0.91,0.93,4.39,-1.10,-3.58
1.217,1.02,1.30,7.71,2.38,-2.46
1.264,1.02,1.30,7.89,1.51,-2.46
1.285,1.42,1.64,12.23,0.95,-6.53
1.325,2.01,1.56,12.15,0.18,-6.53
1.358,2.01,1.56,24.10,6.35,-6.63
1.382,2.08,1.33,35.77,13.25,-1.44
1.426,2.08,1.33,35.83,12.78,-1.44
1.442,0.04,0.83,52.87,13.87,1.21
1.496,3.78,0.09,53.01,15.65,1.21
1.530,3.78,0.09,58.03,10.90,3.74
1.551,7.70,0.32,74.21,15.33,6.12
1.603,7.70,0.32,70.30,14.83,6.12
1.626,11.50,1.05,81.00,16.57,7.45
1.660,15.97,1.85,89.50,19.63,9.66
1.710,15.97,1.85,85.07,18.57,9.66
1.729,19.05,2.16,93.64,19.42,10.64
1.767,21.94,2.30,92.47,21.00,10.64
1.801,21.94,2.30,95.98,19.67,10.73
1.824,24.31,2.55,106.34,25.41,11.06
1.867,24.31,2.55,103.96,25.27,11.06
1.886,28.22,4.19,116.48,34.88,11.88
1.929,31.20,5.53,113.57,35.49,11.88
1.961,31.20,5.53,117.09,38.34,21.60
1.986,33.11,4.82,118.39,35.93,25.53
2.031,33.11,4.82,116.53,37.12,25.53
2.050,29.74,4.61,106.53,27.92,21.76
2.097,21.22,3.23,103.13,22.08,21.76
2.127,21.22,3.23,110.05,28.26,20.92
2.155,14.58,1.90,89.46,10.61,21.51
2.206,14.58,1.90,96.17,13.33,21.51
2.228,6.81,1.27,79.53,-2.35,17.49
2.262,2.51,1.40,84.04,-3.34,17.49
2.296,2.51,1.40,75.44,-3.53,15.46
2.321,0.37,1.25,55.46,-12.31,7.95
2.370,0.37,1.25,58.34,-11.17,7.95
2.394,0.88,0.89,38.69,-7.01,1.93
2.429,0.40,0.00,40.69,-6.26,1.93
2.467,0.40,0.00,21.54,-9.75,-4.04
2.493,0.39,0.56,4.17,-6.31,-8.81
2.538,1.91,0.56,4.08,-5.33,-8.81
2.576,1.91,0.56,3.20,-5.32,-11.89
2.598,3.19,0.92,9.62,1.19,-11.42
2.647,3.19,0.92,8.29,-0.14,-11.42
2.670,4.37,1.69,6.68,2.74,-11.50
2.705,4.29,2.63,5.39,2.23,-9.13
2.753,4.29,2.63,5.20,0.94,-9.13
2.772,4.09,2.12,16.46,1.79,-6.50
2.815,4.05,0.92,15.41,0.20,-6.50
2.846,4.05,0.92,36.13,4.66,-3.96
2.875,2.77,0.18,54.09,2.56,1.57
2.928,0.70,1.22,54.54,5.46,1.57
2.964,0.70,1.22,72.80,7.33,5.62
2.989,6.88,2.29,94.84,17.64,10.66
3.035,15.78,3.30,93.99,23.36,10.66
3.070,15.78,3.30,98.08,14.76,11.82
3.095,22.65,4.06,119.15,24.53,15.57
3.147,28.61,4.83,114.97,25.23,15.57
3.186,28.61,4.83,117.46,31.11,23.66
3.207,30.54,5.31,118.64,37.48,27.83
3.253,26.84,4.67,113.66,33.79,27.83
3.286,26.84,4.67,112.69,23.82,22.65
3.312,21.01,3.52,98.37,12.70,22.66
3.361,21.01,3.52,104.23,15.31,22.66
3.380,14.12,2.12,93.13,7.22,21.31
3.419,8.85,1.30,96.71,5.94,21.31
3.454,8.85,1.30,92.57,6.46,18.68
3.478,3.89,1.62,69.14,-11.68,15.70
3.527,3.89,1.62,74.04,-9.19,15.70
3.551,2.63,1.61,59.42,-6.81,10.04
3.582,0.47,1.08,59.59,-8.62,10.04
3.618,0.47,1.08,43.53,-8.45,4.63
3.645,2.15,0.65,28.24,-8.93,-3.28
3.702,1.81,0.73,26.23,-9.14,-3.28
3.749,1.81,0.73,5.79,-6.64,-5.48
3.781,1.10,1.28,7.02,-3.66,-10.40
3.816,0.94,1.33,11.49,7.89,-10.21
3.880,2.01,0.35,10.08,8.27,-10.21
3.919,2.14,0.54,3.91,2.31,-9.64
3.961,2.14,0.54,5.84,0.42,-7.82
3.985,2.42,0.33,19.33,9.97,-0.34
4.032,1.79,0.55,19.37,7.89,-0.33
4.072,1.79,0.55,40.12,10.63,0.69
4.098,1.46,1.47,59.68,12.68,6.72
4.134,5.56,2.24,58.98,15.65,6.72
4.163,5.56,2.24,73.17,14.81,8.06
4.190,13.25,3.48,95.71,24.33,13.64
4.237,13.25,3.48,88.10,22.34,13.64
4.256,19.98,4.07,107.50,24.42,13.13
4.299,25.92,3.93,104.83,27.05,13.13
4.332,25.92,3.93,105.00,23.49,16.81
4.357,29.55,4.84,122.00,31.36,22.15
4.406,29.55,4.84,118.36,31.95,22.15
4.425,31.98,6.23,120.54,36.05,26.60
4.466,29.91,5.54,116.50,33.16,26.60
4.499,29.91,5.54,112.71,25.95,25.36
4.524,24.26,4.27,102.12,17.48,22.27
4.570,24.26,4.27,107.81,20.21,22.27
4.587,18.90,3.12,97.80,14.75,22.13
4.632,12.51,1.88,98.91,11.42,22.13
4.663,12.51,1.88,100.82,17.05,20.97
4.688,6.24,1.75,78.98,0.00,20.76
4.734,6.24,1.75,85.22,1.91,20.76
4.752,2.72,1.53,72.06,1.56,16.37
4.803,0.49,1.23,74.17,0.27,16.37
4.839,0.49,1.23,61.69,0.25,12.03
4.858,0.36,0.90,46.66,-2.68,4.96
4.906,1.71,0.82,47.76,-1.72,4.96
4.932,1.71,0.82,29.96,-5.14,-0.03
4.961,2.29,0.86,19.18,-0.33,-2.49
5.002,2.29,0.86,18.60,-0.92,-2.49
5.016,1.75,0.91,8.09,2.81,-2.98
5.055,1.75,0.91,8.63,1.54,-2.98
5.073,1.40,0.73,4.10,-0.14,-5.65
5.116,1.40,0.73,4.46,-1.48,-5.65
5.126,0.57,0.19,6.12,2.19,-3.15
5.169,0.57,0.19,6.91,0.16,-3.15
5.189,0.49,0.33,15.24,-0.47,-3.15
5.238,0.49,0.33,15.32,-0.74,-3.15
