Time(s),Shoulder_Flexion_Deg,Shoulder_Abduction_Deg,Elbow_Flexion_Deg,Elbow_Pronosupination_Deg,Wrist_Flexion_Deg
0.0,0.92,1.59,3.79,-2.56,5.94
0.028,0.91,1.57,3.78,-2.62,5.94
0.055,0.91,1.57,3.78,-2.52,5.95
0.089,0.92,1.58,3.78,-2.5,5.95
0.111,0.92,1.58,3.77,-2.55,5.95
0.136,0.92,1.58,3.77,-2.55,5.95
0.166,0.92,1.58,3.77,-2.55,5.95
0.189,0.93,1.58,3.78,-2.55,5.95
0.221,0.93,1.58,3.77,-2.6,5.93
0.246,0.95,1.58,3.79,-2.61,5.93
0.276,0.95,1.58,3.76,-2.64,5.93
0.3,0.95,1.58,3.76,-2.62,5.93
0.33,0.95,1.58,3.73,-2.79,5.9
0.355,0.95,1.58,3.73,-2.79,5.9
0.386,0.95,1.58,3.74,-2.81,5.89
0.41,0.95,1.58,3.74,-2.81,5.89
0.441,0.95,1.58,3.74,-2.78,5.91
0.471,0.95,1.61,3.74,-2.75,5.91
0.502,0.95,1.61,3.76,-2.82,5.91
0.524,0.95,1.59,3.76,-2.97,5.91
0.55,0.95,1.59,3.73,-2.71,5.89
0.576,0.95,1.6,3.72,-2.74,5.89
0.606,0.95,1.6,3.71,-2.86,5.86
0.63,0.95,1.6,3.71,-2.95,5.86
0.662,0.95,1.6,3.68,-2.82,5.83
0.685,0.95,1.59,3.69,-2.93,5.83
0.717,0.95,1.59,3.66,-2.85,5.82
0.74,0.95,1.61,3.65,-2.85,5.82
0.771,0.95,1.61,3.68,-2.9,5.82
0.795,0.95,1.61,3.68,-2.93,5.82
0.824,0.95,1.61,3.67,-2.89,5.82
0.849,0.94,1.64,3.66,-2.8,5.82
0.882,0.94,1.64,3.7,-2.95,5.83
0.905,0.95,1.64,3.7,-2.91,5.83
0.934,0.95,1.64,3.69,-2.94,5.82
0.961,0.95,1.63,3.69,-2.93,5.82
0.991,0.95,1.63,3.68,-2.94,5.82
1.016,0.95,1.63,3.68,-2.94,5.82
1.045,0.95,1.63,3.7,-2.94,5.81
1.071,0.91,1.63,3.67,-2.94,5.81
1.101,0.91,1.63,3.68,-2.94,5.83
1.126,0.9,1.62,3.66,-2.94,5.83
1.154,0.9,1.62,3.68,-3.03,5.83
1.18,0.9,1.62,3.68,-3.12,5.83
1.211,0.9,1.62,3.68,-2.92,5.81
1.237,0.87,1.67,3.65,-2.88,5.81
1.265,0.87,1.67,3.74,-2.94,5.8
1.291,0.83,1.68,3.69,-3.01,5.8
1.321,0.83,1.68,3.7,-2.84,5.79
1.346,0.8,1.7,3.67,-3.01,5.79
1.374,0.8,1.7,3.64,-2.83,5.8
1.401,0.79,1.7,3.63,-2.93,5.8
1.431,0.79,1.7,3.61,-2.82,5.79
1.456,0.8,1.71,3.62,-2.74,5.79
1.485,0.8,1.71,3.62,-2.78,5.8
1.511,0.79,1.7,3.61,-2.64,5.8
1.54,0.79,1.7,3.66,-2.81,5.79
1.566,0.8,1.7,3.66,-2.62,5.79
1.594,0.8,1.7,3.66,-2.85,5.81
1.621,0.8,1.71,3.66,-2.7,5.81
1.649,0.8,1.71,3.66,-2.85,5.85
1.677,0.79,1.71,3.65,-2.71,5.85
1.703,0.79,1.71,3.65,-2.88,5.91
1.731,0.79,1.7,3.65,-2.78,5.91
1.758,0.79,1.7,3.65,-2.8,5.97
1.786,0.78,1.7,3.64,-2.68,5.97
1.813,0.78,1.7,3.66,-2.87,5.96
1.841,0.79,1.69,3.67,-2.84,5.96
1.868,0.79,1.69,3.64,-2.82,5.97
1.897,0.76,1.68,3.62,-2.82,5.97
1.924,0.76,1.68,3.67,-2.78,5.97
1.951,0.78,1.69,3.69,-2.76,5.97
1.976,0.78,1.69,3.66,-2.75,5.98
2.007,0.79,1.64,3.67,-2.65,5.98
2.032,0.79,1.64,3.62,-2.8,5.98
2.063,0.81,1.57,3.63,-2.84,5.98
2.088,0.81,1.57,3.61,-2.69,5.93
2.119,0.86,1.5,3.66,-2.58,5.93
2.143,0.86,1.5,3.54,-2.69,6.0
2.174,0.75,1.37,3.41,-2.21,6.0
