Time(s),Shoulder_Elevation_Deg,Elbow_Flexion_Deg
10.126,3.72,3.06
10.158,3.72,3.08
10.218,3.72,3.06
10.244,3.70,3.06
10.291,3.72,3.05
10.326,3.72,3.11
10.379,3.70,3.15
10.411,3.70,3.14
10.452,3.70,3.13
10.486,3.70,3.19
10.544,3.67,3.22
10.576,3.67,3.17
10.619,3.64,3.18
10.653,3.64,3.16
10.712,3.63,3.13
10.739,3.64,3.06
10.784,3.69,3.05
10.817,3.69,2.86
10.880,3.78,2.74
10.906,3.79,2.30
10.952,4.01,2.40
10.986,4.01,1.95
11.067,3.93,1.89
11.089,3.30,1.98
11.120,2.18,2.60
11.151,2.18,0.61
11.214,1.24,2.59
11.237,2.36,3.23
11.281,2.36,3.10
11.296,4.86,3.43
11.340,10.64,9.26
11.400,10.64,3.01
11.421,20.11,8.12
11.459,29.30,16.66
11.494,29.30,2.64
11.537,40.49,11.77
11.568,49.03,11.20
11.616,49.03,4.04
11.634,58.54,11.88
11.678,65.30,6.88
11.747,65.30,8.40
11.765,71.23,11.45
11.789,74.84,13.15
11.838,78.30,10.33
11.902,78.30,12.78
11.922,79.83,13.77
11.950,80.54,14.36
11.997,80.54,13.58
12.042,80.65,13.66
12.062,80.60,12.61
12.106,80.60,12.45
12.124,80.06,12.18
12.170,79.61,12.01
12.237,79.61,11.44
12.258,78.71,11.30
12.288,77.61,10.69
12.335,75.10,11.34
12.395,75.10,8.61
12.415,71.32,10.79
12.448,65.01,13.37
12.498,65.01,10.79
12.547,58.51,13.78
12.563,49.07,25.55
12.611,38.95,28.42
12.648,38.95,11.46
12.676,25.98,28.50
12.755,14.06,27.33
12.781,6.34,12.63
12.831,6.34,8.95
12.884,2.40,12.84
12.905,1.79,5.42
12.944,2.09,4.84
12.977,2.09,5.45
13.003,3.46,4.72
13.074,3.46,6.04
13.094,4.25,4.98
13.111,6.18,4.94
13.160,6.18,6.86
13.213,8.49,4.83
13.229,12.72,5.06
13.278,12.72,8.73
13.297,17.35,5.29
13.331,23.94,13.30
13.399,23.94,8.68
13.422,29.75,5.36
13.441,36.47,5.19
13.487,36.47,8.59
13.524,42.19,3.86
13.551,48.41,3.53
13.597,48.41,5.64
13.619,53.22,1.59
13.667,59.08,5.54
13.734,59.08,4.81
13.752,64.66,4.62
13.773,69.13,7.57
13.818,69.13,4.69
13.864,73.56,9.77
13.882,76.42,10.71
13.936,76.42,8.81
13.963,79.34,10.72
13.995,80.71,10.58
14.066,80.71,9.89
14.084,81.31,10.13
14.107,80.99,9.71
14.155,80.99,9.48
14.210,80.40,8.93
14.228,80.05,8.45
14.267,79.14,9.18
14.299,79.14,8.09
14.328,77.72,8.50
14.403,77.72,8.23
14.426,75.38,8.03
14.446,72.89,6.46
14.488,68.93,8.07
14.539,68.93,4.78
14.557,65.04,6.39
14.595,59.47,7.41
14.629,59.47,2.52
14.666,54.64,10.19
14.736,48.00,11.00
14.765,41.56,7.34
14.796,41.56,6.06
14.828,33.47,17.26
14.905,25.37,17.35
14.931,18.96,7.51
14.961,18.96,6.00
14.994,12.36,12.57
15.067,7.25,11.93
15.093,3.86,6.71
15.124,3.86,3.84
15.163,3.06,5.49
15.224,3.06,2.31
15.242,3.26,2.26
15.267,3.13,0.90
15.312,3.13,1.30
15.338,3.23,0.70
15.408,3.81,1.82
15.436,4.93,2.25
15.469,4.93,2.97
15.490,7.65,1.84
15.563,7.65,4.11
15.587,11.34,2.23
15.598,17.40,3.90
15.637,17.40,6.73
15.648,23.64,3.45
15.702,23.64,7.03
15.714,32.14,5.23
15.757,32.14,7.42
15.779,41.30,5.34
15.818,48.61,10.67
15.882,48.61,6.97
15.902,56.53,5.71
15.931,62.45,6.55
15.978,62.45,3.72
16.019,68.45,10.10
16.043,72.47,10.83
16.091,72.47,8.73
16.111,76.38,12.23
16.155,78.48,9.68
16.221,78.48,12.03
16.235,79.52,11.59
16.264,79.54,12.14
16.314,79.54,12.13
16.358,79.12,11.83
16.381,78.42,11.74
16.427,77.89,11.87
16.457,77.89,10.62
16.488,77.33,10.88
16.559,77.33,10.70
16.583,76.77,10.38
16.598,74.86,9.19
16.648,74.86,9.08
16.709,71.82,8.23
16.727,67.15,6.72
16.757,61.90,8.76
16.786,61.90,3.92
16.817,55.31,9.93
16.895,55.31,6.41
16.913,47.29,12.92
16.934,38.86,15.52
16.978,28.62,15.48
17.035,28.62,3.20
17.054,19.93,14.97
17.086,11.97,16.47
17.117,11.97,2.94
17.151,6.37,10.39
17.236,2.88,10.83
17.261,2.70,4.00
17.291,2.70,1.76
17.316,2.37,1.50
17.395,2.30,0.86
17.420,2.47,0.66
17.448,2.47,1.15
17.479,2.91,0.35
17.551,2.91,1.07
17.568,4.46,1.64
17.591,6.83,2.12
17.635,6.83,3.48
17.679,11.90,4.34
17.701,17.87,4.72
17.748,17.87,6.11
17.764,26.44,7.76
17.803,33.87,13.65
17.865,33.87,3.92
17.882,42.48,9.19
17.918,50.63,12.47
17.951,50.63,3.17
17.977,57.05,8.45
18.052,63.52,3.61
18.081,67.72,3.10
18.113,67.72,7.15
18.144,72.12,10.63
18.219,75.17,7.92
18.247,77.78,9.09
18.276,77.78,9.72
18.311,79.17,9.99
18.383,79.54,9.68
18.409,79.70,10.62
18.440,79.70,10.07
18.474,79.38,10.45
18.535,79.38,9.78
18.556,79.00,9.67
18.583,78.26,9.51
18.632,77.23,9.77
18.694,77.23,8.05
18.715,74.75,8.48
18.749,71.92,6.52
18.796,71.92,6.37
18.856,67.01,6.81
18.879,60.65,8.04
18.913,54.44,8.54
18.942,54.44,2.08
18.970,45.35,14.47
19.050,45.35,8.75
19.070,35.60,16.47
19.086,24.54,19.90
19.129,13.82,21.10
19.193,13.82,3.74
19.212,6.73,13.01
19.244,0.36,10.53
19.287,0.36,6.65
19.338,1.35,2.88
19.357,1.23,0.37
19.407,1.23,0.55
19.426,0.70,1.47
19.464,0.90,2.54
19.525,0.90,0.91
19.544,2.23,3.15
19.574,5.25,4.59
19.620,5.25,4.52
19.670,9.50,4.91
19.692,17.16,6.64
19.737,24.79,14.06
19.769,24.79,4.81
19.797,34.52,7.26
19.863,34.52,7.39
19.880,42.74,6.73
19.907,51.79,7.73
19.953,51.79,2.30
20.004,59.12,7.79
20.023,64.36,8.75
20.066,70.35,3.67
20.107,70.35,10.36
20.133,74.05,12.32
20.210,77.33,9.75
20.249,78.05,11.30
20.282,78.05,10.89
20.325,77.79,10.91
20.350,77.45,11.38
20.399,77.45,11.02
20.418,77.11,11.62
20.457,76.70,11.73
20.522,76.70,9.85
20.541,76.13,11.23
