Time(s),Shoulder_Flexion_Deg,Shoulder_Abduction_Deg,Elbow_Flexion_Deg,Elbow_Pronosupination_Deg,Wrist_Flexion_Deg
0.0,0.29,2.0,2.25,2.93,-3.14
0.03,0.29,2.0,2.23,2.99,-3.14
0.056,0.3,2.05,2.27,3.26,-3.14
0.085,0.3,2.05,2.14,2.97,-3.08
0.11,0.22,2.14,2.25,2.94,-3.08
0.138,0.22,2.14,2.13,3.16,-3.07
0.173,0.23,2.22,2.21,2.94,-3.07
0.198,0.31,2.25,2.09,3.62,-2.99
0.24,0.31,2.25,2.02,3.56,-2.99
0.254,0.27,2.26,2.0,3.63,-3.0
0.294,0.27,2.26,2.01,3.67,-3.0
0.308,0.26,2.27,2.0,3.74,-3.0
0.346,0.26,2.27,2.01,3.79,-3.0
0.363,0.28,2.31,2.03,3.87,-3.02
0.401,0.28,2.31,1.99,3.9,-3.02
0.417,0.28,2.32,1.96,4.2,-3.02
0.456,0.28,2.32,1.95,4.09,-3.02
0.474,0.27,2.38,2.01,4.32,-2.96
0.513,0.27,2.38,1.97,4.33,-2.96
0.53,0.3,2.37,1.92,4.9,-2.91
0.574,0.3,2.37,1.9,4.92,-2.91
0.585,0.27,2.37,1.87,5.2,-2.91
0.624,0.27,2.37,1.89,5.17,-2.91
0.639,0.22,2.34,1.8,5.29,-2.88
0.68,0.22,2.34,1.86,5.32,-2.88
0.695,0.2,2.35,1.9,5.33,-2.89
0.737,0.2,2.35,1.9,5.39,-2.89
0.75,0.22,2.36,1.89,5.22,-2.91
0.791,0.22,2.36,1.87,5.32,-2.91
0.805,0.22,2.39,1.9,5.35,-2.87
0.844,0.22,2.39,1.87,5.42,-2.87
0.857,0.3,2.42,1.9,5.43,-2.84
0.893,0.3,2.42,1.83,5.45,-2.84
0.912,0.32,2.44,1.84,5.55,-2.8
0.951,0.32,2.44,1.8,5.52,-2.8
0.97,0.34,2.42,1.72,5.61,-2.81
1.011,0.34,2.42,1.72,5.54,-2.81
1.025,0.39,2.44,1.78,5.78,-2.8
1.067,0.39,2.44,1.73,5.67,-2.8
1.081,0.42,2.43,1.66,6.0,-2.79
1.12,0.42,2.43,1.66,5.83,-2.79
1.135,0.4,2.43,1.64,5.79,-2.77
1.174,0.4,2.43,1.65,5.77,-2.77
1.19,0.41,2.45,1.68,5.75,-2.78
1.231,0.41,2.45,1.65,5.79,-2.78
1.245,0.39,2.51,1.69,5.81,-2.78
1.285,0.39,2.51,1.65,5.87,-2.78
1.299,0.37,2.54,1.6,5.9,-2.82
1.34,0.37,2.54,1.58,5.91,-2.82
1.356,0.4,2.56,1.55,5.91,-2.83
1.397,0.4,2.56,1.53,5.93,-2.83
1.41,0.44,2.57,1.53,5.99,-2.82
1.449,0.44,2.57,1.5,5.99,-2.82
1.462,0.45,2.57,1.46,6.09,-2.8
1.498,0.45,2.57,1.46,6.09,-2.8
1.516,0.44,2.6,1.49,5.95,-2.8
1.555,0.44,2.6,1.47,6.01,-2.8
1.573,0.43,2.58,1.41,6.02,-2.77
1.62,0.43,2.58,1.44,6.05,-2.77
1.636,0.43,2.58,1.47,5.86,-2.76
1.689,0.43,2.58,1.45,6.01,-2.71
1.719,0.43,2.56,1.42,5.91,-2.73
1.75,0.43,2.59,1.48,5.83,-2.73
1.789,0.43,2.59,1.45,5.96,-2.73
1.818,0.42,2.57,1.43,5.98,-2.73
1.849,0.42,2.57,1.47,5.95,-2.75
1.881,0.43,2.58,1.48,5.9,-2.75
1.908,0.47,2.57,1.45,6.02,-2.75
1.946,0.47,2.57,1.43,5.98,-2.75
1.961,0.57,2.53,1.43,6.02,-2.82
1.999,0.57,2.53,1.39,6.04,-2.82
2.016,0.63,2.57,1.64,5.78,-3.04
2.055,0.63,2.57,1.57,6.07,-3.04
2.07,0.53,2.49,1.5,6.07,-3.26
2.113,0.53,2.49,1.63,6.27,-3.26
2.129,0.47,2.4,1.45,6.04,-3.29
2.171,0.47,2.4,1.56,5.92,-3.29
2.184,0.44,2.33,1.46,6.31,-3.15
2.226,0.44,2.33,1.54,6.02,-3.15
2.242,0.45,2.32,1.55,6.29,-3.15
2.283,0.45,2.32,1.58,6.1,-3.19
2.312,0.63,2.09,1.36,6.39,-3.19
2.341,0.63,2.09,1.75,5.91,-3.26
2.369,0.88,1.95,1.62,5.56,-3.26
2.397,0.88,1.95,1.69,5.82,-3.36
2.426,0.97,1.52,1.27,5.72,-3.36
2.449,0.97,1.52,1.61,5.6,-3.2
2.471,1.04,1.15,1.23,5.87,-3.2
2.498,1.04,1.15,1.51,5.67,-2.95
2.522,1.05,0.81,1.17,6.33,-2.95
2.557,1.05,0.81,2.35,5.22,-3.41
2.583,1.06,0.61,2.18,5.08,-3.41
2.611,1.06,0.61,3.06,4.76,-4.2
2.637,1.04,0.59,3.05,4.05,-4.2
2.667,1.04,0.59,3.01,5.89,-4.21
2.691,1.0,0.43,2.9,6.42,-4.21
2.723,1.0,0.43,2.96,5.54,-4.02
2.751,1.05,0.39,2.9,5.81,-4.02
2.776,1.05,0.39,2.91,5.53,-3.94
2.799,1.12,0.41,2.89,5.62,-3.94
2.829,1.12,0.41,2.74,5.8,-3.76
2.851,1.13,0.32,2.66,6.03,-3.76
2.887,1.13,0.32,2.77,5.6,-3.69
2.913,1.13,0.32,2.77,5.56,-3.69
2.946,1.13,0.32,2.72,5.51,-3.56
2.972,1.07,0.31,2.74,5.39,-3.56
3.0,1.07,0.31,2.72,5.33,-3.49
3.026,0.94,0.36,2.83,5.08,-3.49
3.053,0.94,0.36,2.7,5.23,-3.46
3.078,0.84,0.34,2.74,5.18,-3.46
3.109,0.84,0.34,2.75,5.17,-3.45
3.135,0.82,0.36,2.78,5.16,-3.45
3.162,0.82,0.36,2.74,5.32,-3.45
3.187,0.84,0.35,2.72,5.48,-3.45
3.22,0.84,0.35,2.71,5.38,-3.42
3.246,0.84,0.36,2.72,5.49,-3.42
3.272,0.84,0.36,2.65,5.45,-3.35
3.298,0.82,0.37,2.67,5.57,-3.35
3.33,0.82,0.37,2.62,5.53,-3.33
3.355,0.85,0.33,2.56,5.89,-3.33
3.384,0.85,0.33,2.48,5.72,-3.05
3.409,0.97,0.29,2.39,6.01,-3.05
3.439,0.97,0.29,2.4,5.86,-2.92
3.476,1.16,0.29,2.33,6.12,-2.92
3.505,1.33,0.15,2.16,6.1,-2.81
