Time(s),Shoulder_Flexion_Deg,Shoulder_Abduction_Deg,Elbow_Flexion_Deg,Elbow_Pronosupination_Deg,Wrist_Flexion_Deg
3.382,17.33,16.30,133.37,53.01,-16.20
3.413,17.33,16.30,134.09,56.24,-17.11
3.437,19.78,18.31,136.59,55.67,-17.11
3.467,19.78,18.31,134.25,57.25,-17.25
3.492,16.34,16.49,130.89,56.85,-17.25
3.523,16.34,16.49,131.64,54.14,-17.63
3.549,10.45,13.49,125.73,52.83,-17.63
3.577,10.45,13.49,124.32,52.15,-14.10
3.602,5.25,10.16,118.81,51.39,-14.10
3.634,5.25,10.16,113.93,38.92,-13.20
3.658,0.74,6.78,107.50,36.29,-13.20
3.688,0.74,6.78,97.67,19.38,-7.98
3.714,3.82,4.84,94.08,16.95,-7.98
3.744,3.82,4.84,81.77,4.17,-7.28
3.769,5.60,2.62,79.12,2.39,-7.28
3.798,5.60,2.62,62.03,-2.90,-2.51
3.824,6.33,1.73,60.79,-4.84,-2.51
3.854,6.33,1.73,46.02,-13.00,-0.10
3.879,5.85,0.91,45.86,-14.23,-0.10
3.909,5.85,0.91,27.37,-14.70,2.68
3.935,4.76,0.44,27.82,-17.98,2.68
3.964,4.76,0.44,13.37,-22.58,4.19
3.990,4.53,0.53,12.94,-24.91,4.19
4.021,4.53,0.53,5.62,-13.87,5.95
4.044,4.43,1.89,4.74,-14.00,5.95
4.071,4.43,1.89,5.61,-10.89,7.67
4.093,5.10,1.44,6.06,-8.32,7.67
4.127,5.10,1.44,11.76,-9.60,8.02
4.151,6.86,1.03,11.38,-6.58,8.02
4.188,6.86,1.03,24.18,-12.77,11.04
4.219,8.89,0.85,23.08,-11.33,11.04
4.248,8.89,0.85,44.35,-4.40,10.72
4.273,9.52,0.68,44.35,-2.26,10.72
4.298,9.52,0.68,62.51,3.66,8.68
4.323,8.41,0.27,64.40,6.26,8.68
4.351,8.41,0.27,82.98,9.96,3.44
4.376,5.40,2.51,87.02,12.74,3.44
4.405,5.40,2.51,98.75,22.73,-1.43
4.431,2.17,5.43,103.12,24.75,-1.43
4.461,2.17,5.43,117.86,39.26,-9.37
4.486,3.24,9.77,124.64,39.82,-9.37
4.517,3.24,9.77,130.29,51.82,-14.37
4.543,7.89,13.84,135.80,50.84,-14.37
4.572,7.89,13.84,136.65,56.56,-15.08
4.597,9.28,15.67,138.43,56.92,-15.08
4.626,9.28,15.67,133.44,53.93,-15.90
4.651,5.91,13.59,129.97,54.52,-15.90
4.681,5.91,13.59,125.45,47.33,-14.21
4.706,0.20,8.88,119.01,48.01,-14.21
4.737,0.20,8.88,114.86,35.57,-11.03
4.763,4.49,5.12,109.28,34.86,-11.03
4.791,4.49,5.12,96.14,14.91,-5.41
4.817,6.67,2.57,93.00,13.70,-5.41
4.847,6.67,2.57,77.08,-4.87,-3.94
4.872,7.33,0.82,75.47,-6.24,-3.94
4.901,7.33,0.82,54.91,-8.36,-1.08
4.928,7.01,0.10,54.53,-10.35,-1.08
4.957,7.01,0.10,36.94,-14.74,2.23
4.983,6.27,0.26,37.41,-16.92,2.23
5.013,6.27,0.26,18.14,-14.22,2.41
5.039,5.21,0.40,18.42,-16.89,2.41
5.067,5.21,0.40,6.87,-17.65,3.16
5.092,6.03,2.37,4.77,-18.48,3.16
5.122,6.03,2.37,4.47,-11.16,5.32
5.149,7.44,3.22,3.83,-12.22,5.32
5.178,7.44,3.22,6.21,-9.02,6.18
5.204,6.87,3.33,6.46,-7.06,6.18
5.232,6.87,3.33,10.81,-8.98,7.07
5.256,7.72,2.85,11.07,-6.20,7.07
5.285,7.72,2.85,19.60,-12.96,7.20
5.308,10.49,2.11,18.66,-11.18,7.20
5.340,10.49,2.11,37.98,-8.77,8.58
5.363,11.66,2.14,37.46,-7.02,8.58
5.398,11.66,2.14,54.93,-4.12,7.72
5.422,10.86,1.41,56.57,-1.32,7.72
5.452,10.86,1.41,74.78,0.53,4.07
5.476,8.55,0.40,78.06,2.93,4.07
5.508,8.55,0.40,90.38,12.79,-0.33
5.533,4.32,3.75,95.93,16.07,-0.33
5.562,4.32,3.75,107.77,27.50,-6.64
5.587,0.71,7.85,114.25,29.70,-6.64
5.617,0.71,7.85,120.92,45.08,-12.44
5.640,5.17,11.82,126.48,45.16,-12.44
5.672,5.17,11.82,134.80,55.02,-20.14
5.697,9.61,15.94,139.96,53.51,-20.14
5.728,9.61,15.94,140.98,57.80,-19.90
5.753,10.15,17.05,141.75,57.61,-19.90
5.785,10.15,17.05,140.79,56.08,-20.51
5.810,6.87,15.49,137.53,56.41,-20.51
5.838,6.87,15.49,137.23,52.83,-19.95
5.864,3.02,12.55,133.02,53.93,-19.95
5.894,3.02,12.55,128.23,50.72,-16.29
5.919,1.39,9.20,123.26,52.34,-16.29
5.950,1.39,9.20,117.63,33.49,-14.80
5.974,4.51,7.05,113.96,32.49,-14.80
6.006,4.51,7.05,100.20,17.75,-10.82
6.030,6.76,4.52,96.97,16.88,-10.82
6.060,6.76,4.52,83.81,4.23,-5.25
6.085,7.74,3.23,82.13,2.92,-5.25
6.116,7.74,3.23,63.58,-3.70,-1.95
6.140,7.39,2.26,63.19,-4.45,-1.95
6.170,7.39,2.26,47.74,-8.84,3.31
6.195,6.42,0.95,47.61,-10.05,3.31
6.228,6.42,0.95,28.82,-6.61,7.76
6.253,6.19,0.59,27.90,-8.55,7.76
6.282,6.19,0.59,18.11,-9.31,6.88
6.309,6.08,1.89,17.07,-12.49,6.88
6.338,6.08,1.89,11.04,-11.15,8.24
6.362,6.66,3.09,9.69,-11.45,8.24
6.391,6.66,3.09,10.87,-4.21,9.61
6.417,7.04,3.14,10.89,-1.76,9.61
6.446,7.04,3.14,15.14,-4.34,9.77
6.471,8.28,2.95,15.05,-1.28,9.77
6.500,8.28,2.95,23.78,-10.93,10.28
6.525,10.58,1.62,23.83,-9.63,10.28
6.556,10.58,1.62,40.06,-1.89,10.07
6.583,12.08,1.79,39.28,-0.29,10.07
6.612,12.08,1.79,57.21,4.78,7.78
6.636,12.10,1.57,57.77,6.43,7.78
6.668,12.10,1.57,77.42,12.94,2.19
6.693,10.24,0.31,80.65,15.21,2.19
6.722,10.24,0.31,96.18,21.83,-2.89
6.746,7.05,2.94,100.58,24.13,-2.89
6.778,7.05,2.94,111.10,33.49,-8.31
6.803,2.31,7.06,117.54,35.33,-8.31
6.832,2.31,7.06,123.84,45.14,-13.73
6.854,1.68,11.19,129.26,44.68,-13.73
6.885,1.68,11.19,136.88,55.47,-19.33
6.908,5.73,15.55,141.98,53.62,-19.33
6.940,5.73,15.55,141.11,57.83,-19.05
6.963,5.87,16.55,141.52,57.69,-19.05
6.999,5.87,16.55,137.83,56.34,-19.39
7.023,2.47,13.76,134.09,58.26,-19.39
7.051,2.47,13.76,130.85,53.80,-16.90
7.075,0.86,10.22,126.78,56.19,-16.90
7.108,0.86,10.22,116.15,38.71,-12.58
7.133,4.38,6.66,111.62,39.55,-12.58
7.162,4.38,6.66,100.67,23.65,-9.84
7.187,6.31,3.95,97.65,23.37,-9.84
7.217,6.31,3.95,79.47,5.04,-3.12
7.240,6.87,2.63,78.16,4.07,-3.12
7.272,6.87,2.63,61.82,-4.11,-1.21
7.296,6.70,1.82,61.28,-5.94,-1.20
7.329,6.70,1.82,41.07,-9.03,5.03
7.353,5.89,1.23,41.20,-11.03,5.03
7.381,5.89,1.23,25.10,-10.55,5.30
7.405,4.73,0.04,25.18,-13.48,5.30
7.438,4.73,0.04,11.13,-11.74,8.08
7.461,4.82,1.79,9.73,-13.07,8.08
7.493,4.82,1.79,7.13,-10.17,6.82
7.517,6.12,2.90,5.65,-10.36,6.82
7.549,6.12,2.90,8.93,-8.38,9.19
7.573,6.68,3.00,8.79,-6.36,9.19
7.599,6.68,3.00,13.90,-8.73,10.58
7.622,7.69,2.64,13.91,-6.13,10.58
7.658,7.69,2.64,24.06,-10.25,11.95
7.681,9.46,1.55,23.92,-9.15,11.95
7.711,9.46,1.55,38.00,-4.27,12.93
7.732,10.29,1.01,38.18,-2.11,12.93
7.767,10.29,1.01,57.60,0.89,9.19
7.790,9.15,0.21,59.37,3.36,9.19
7.821,9.15,0.21,73.40,4.83,5.96
7.845,6.89,1.52,76.54,7.31,5.96
7.879,6.89,1.52,92.35,15.64,-1.00
7.902,3.29,4.66,97.27,18.21,-1.00
7.935,3.29,4.66,106.75,29.34,-6.57
7.960,0.30,7.65,110.88,30.45,-6.57
7.994,0.30,7.65,124.20,44.40,-15.70
8.023,3.67,11.36,129.29,43.40,-15.70
8.045,3.67,11.36,137.16,54.97,-22.54
8.066,6.49,14.07,140.49,53.32,-22.54
8.097,6.49,14.07,140.93,55.61,-21.79
8.118,6.00,14.69,140.66,55.70,-21.79
8.152,6.00,14.69,136.80,51.93,-23.42
8.176,2.84,12.82,133.48,52.59,-23.42
8.209,2.84,12.82,130.21,48.83,-20.42
8.232,0.84,9.47,125.88,50.46,-20.42
8.262,0.84,9.47,116.81,36.86,-16.86
8.285,3.29,7.27,113.74,37.49,-16.86
8.318,3.29,7.27,101.91,20.39,-10.41
8.340,4.95,4.94,99.35,20.21,-10.41
8.373,4.95,4.94,81.54,6.57,-4.96
8.395,5.56,3.79,80.33,5.62,-4.96
8.428,5.56,3.79,64.12,-2.07,0.03
8.450,5.54,2.60,63.33,-3.72,0.00
8.483,5.54,2.60,43.00,-7.23,3.09
8.505,5.13,2.18,42.97,-8.72,3.09
8.539,5.13,2.18,26.99,-12.37,6.61
8.563,4.06,0.91,26.94,-15.33,6.61
8.595,4.06,0.91,12.29,-7.76,7.32
8.618,4.40,0.07,11.27,-10.11,7.32
8.651,4.40,0.07,8.85,-8.83,6.61
8.673,5.27,1.94,6.82,-8.63,6.61
8.704,5.27,1.94,10.56,-10.92,6.37
8.728,6.46,1.62,10.47,-9.30,6.37
8.760,6.46,1.62,15.47,-5.69,9.22
8.783,7.50,1.21,15.45,-2.75,9.22
8.814,7.50,1.21,25.75,-6.33,11.11
8.837,8.91,0.38,25.62,-4.66,11.11
8.872,8.91,0.38,37.25,-1.98,12.10
8.895,9.36,0.29,37.63,-0.31,12.10
8.925,9.36,0.29,52.73,3.87,11.07
8.950,9.01,0.49,53.37,5.61,11.07
8.981,9.01,0.49,69.33,11.90,6.04
9.006,7.21,1.29,71.53,14.59,6.04
9.036,7.21,1.29,87.57,19.37,0.82
9.059,4.11,3.24,91.46,22.20,0.82
9.091,4.11,3.24,100.79,27.52,-4.18
9.114,1.09,5.40,104.59,29.58,-4.18
9.146,1.09,5.40,116.02,39.85,-10.84
9.170,2.36,8.20,120.39,40.67,-10.84
9.201,2.36,8.20,126.17,48.39,-17.02
9.225,5.22,10.40,129.57,48.20,-17.02
9.256,5.22,10.40,134.78,54.07,-21.74
9.280,5.87,11.22,135.59,53.20,-21.74
9.311,5.87,11.22,135.91,52.09,-21.92
9.335,3.83,9.80,133.68,52.85,-21.92
9.365,3.83,9.80,127.57,45.88,-20.00
9.392,0.17,6.21,122.80,46.50,-20.00
9.421,0.17,6.21,118.42,38.55,-17.65
9.446,2.69,3.84,115.25,39.76,-17.65
9.475,2.69,3.84,100.65,17.49,-9.77
9.500,4.54,2.23,98.20,16.80,-9.77
9.529,4.54,2.23,84.17,2.49,-7.46
9.554,5.12,0.98,82.88,1.51,-7.46
9.587,5.12,0.98,63.17,-6.76,-2.80
9.614,5.24,0.66,62.71,-8.61,-2.80
9.641,5.24,0.66,47.28,-17.16,-0.43
9.668,5.34,0.51,47.00,-18.58,-0.43
9.698,5.34,0.51,28.65,-15.36,2.03
9.724,5.04,0.14,28.27,-18.20,2.03
9.752,5.04,0.14,15.61,-11.82,6.36
9.777,5.82,1.82,13.70,-14.47,6.36
9.807,5.82,1.82,9.79,-10.74,8.89
9.834,7.11,4.43,6.71,-13.36,8.89
9.861,7.11,4.43,9.43,-3.40,10.96
9.888,8.15,4.43,9.32,-1.86,10.96
9.919,8.15,4.43,12.03,-3.49,10.17
9.946,7.15,4.06,13.19,0.10,10.17
9.972,7.15,4.06,16.01,-8.38,12.74
9.997,7.65,2.03,17.90,-6.51,12.74
10.027,7.65,2.03,24.11,-5.57,11.15
10.054,8.70,0.61,25.01,-3.25,11.15
10.081,8.70,0.61,38.77,-7.32,12.44
10.107,8.17,0.08,39.97,-3.64,12.44
10.137,8.17,0.08,51.69,-4.05,12.01
10.163,6.76,1.10,53.78,-1.53,12.01
10.191,6.76,1.10,66.99,-0.23,10.39
10.217,4.33,3.45,70.56,2.39,10.39
10.247,4.33,3.45,80.44,6.65,6.92
10.272,1.39,5.70,84.21,9.42,6.92
10.302,1.39,5.70,96.69,16.65,1.27
10.329,1.62,8.91,100.98,18.45,1.27
10.357,1.62,8.91,109.73,28.90,-4.48
10.384,4.76,11.89,113.79,29.65,-4.48
10.410,4.76,11.89,122.63,40.93,-10.69
10.438,8.28,14.92,126.85,41.17,-10.69
10.467,8.28,14.92,129.18,48.89,-16.99
10.491,8.85,15.87,130.10,49.39,-16.99
10.523,8.85,15.87,131.59,47.52,-21.36
10.550,7.10,14.63,129.72,47.79,-21.36
10.577,7.10,14.63,129.62,46.17,-21.37
10.601,3.76,11.66,125.62,45.89,-21.37
10.633,3.76,11.66,126.09,42.63,-22.59
10.657,0.58,7.26,120.59,42.65,-22.59
10.688,0.58,7.26,118.90,35.08,-18.55
10.713,3.52,4.22,115.02,35.34,-18.55
10.742,3.52,4.22,104.06,19.47,-15.60
10.769,5.90,1.42,100.58,19.27,-15.60
10.797,5.90,1.42,88.70,1.72,-9.73
10.822,6.35,0.65,87.69,1.09,-9.73
10.851,6.35,0.65,66.08,-13.61,-5.57
10.877,6.19,0.00,65.61,-15.16,-5.57
10.906,6.19,0.00,47.37,-16.76,1.38
10.934,5.41,0.03,47.78,-18.81,1.38
10.963,5.41,0.03,25.85,-22.48,2.46
10.989,4.56,1.14,25.58,-26.26,2.46
11.019,4.56,1.14,12.15,-21.56,6.76
11.045,4.84,3.01,10.46,-24.25,6.76
11.072,4.84,3.01,5.62,-9.93,10.37
11.098,6.96,3.57,4.77,-10.17,10.37
11.129,6.96,3.57,11.33,-8.08,11.09
11.154,7.72,2.80,11.97,-5.86,11.09
11.183,7.72,2.80,14.87,-11.25,15.94
11.210,7.65,1.51,16.34,-8.34,15.94
11.238,7.65,1.51,21.16,-6.01,14.98
11.264,7.87,0.86,21.94,-2.50,14.98
11.295,7.87,0.86,34.66,-4.95,16.45
11.320,8.25,0.51,35.12,-1.39,16.45
11.348,8.25,0.51,50.15,3.07,15.91
11.373,6.75,0.45,52.19,6.10,15.91
11.404,6.75,0.45,69.41,9.64,11.24
11.431,4.16,3.23,73.42,12.23,11.24
11.459,4.16,3.23,85.61,18.51,6.46
11.487,0.04,7.12,91.42,21.92,6.46
11.514,0.04,7.12,104.30,33.26,-2.20
11.538,3.37,10.29,108.75,34.92,-2.20
11.568,3.37,10.29,120.06,47.34,-10.41
11.593,7.15,14.03,124.89,46.98,-10.41
11.624,7.15,14.03,134.65,57.57,-18.91
11.650,9.46,16.57,137.46,56.08,-18.91
11.678,9.46,16.57,140.75,59.83,-19.07
11.705,9.03,16.99,140.53,59.74,-19.07
11.733,9.03,16.99,139.58,58.97,-19.89
