Time(s),Shoulder_Flexion_Deg,Shoulder_Abduction_Deg,Elbow_Flexion_Deg,Elbow_Pronosupination_Deg,Wrist_Flexion_Deg
0.000,2.05,1.22,1.57,-15.38,-12.44
0.021,2.12,1.15,1.66,-15.38,-12.34
0.061,2.27,1.24,1.44,-14.48,-12.25
0.110,2.27,1.24,1.52,-14.78,-12.25
0.143,2.40,1.40,1.46,-13.68,-12.16
0.171,2.54,1.63,1.60,-13.29,-12.32
0.220,2.54,1.63,1.85,-13.87,-12.32
0.236,2.61,1.75,1.92,-13.39,-12.50
0.282,2.68,1.81,1.96,-13.56,-12.50
0.317,2.68,1.81,2.18,-13.87,-12.57
0.337,2.66,1.86,2.13,-13.87,-12.57
0.387,2.66,1.86,2.18,-13.82,-12.57
0.408,2.48,1.77,2.29,-14.73,-12.53
0.445,2.21,1.63,2.27,-15.02,-12.55
0.490,2.21,1.63,2.09,-14.58,-12.55
0.510,1.83,1.43,2.26,-15.03,-12.60
0.556,1.48,1.25,2.36,-14.91,-12.60
0.590,1.48,1.25,1.54,-14.03,-12.60
0.615,1.26,1.05,2.09,-14.87,-12.66
0.661,1.26,1.05,1.84,-14.45,-12.66
0.684,1.20,0.78,2.04,-15.05,-12.73
0.724,1.23,0.51,1.90,-15.28,-12.86
0.774,1.23,0.51,1.62,-14.71,-12.86
0.794,1.40,0.26,1.77,-15.27,-12.94
0.834,1.54,0.14,1.54,-14.55,-13.03
0.882,1.54,0.14,1.39,-14.16,-13.03
0.903,1.69,0.07,1.43,-14.60,-13.18
0.945,1.79,0.04,1.33,-14.40,-13.28
0.994,1.79,0.04,1.27,-14.04,-13.28
1.015,1.90,0.00,1.34,-14.39,-13.38
1.053,1.99,0.03,1.32,-13.92,-13.39
1.104,1.99,0.03,1.25,-13.75,-13.39
1.122,2.10,0.04,1.35,-13.76,-13.44
1.168,2.20,0.13,1.34,-13.89,-13.44
1.206,2.20,0.13,1.27,-13.22,-13.44
1.225,2.27,0.20,1.46,-13.22,-13.44
1.272,2.27,0.20,1.36,-13.00,-13.44
1.289,2.49,0.31,1.53,-10.19,-12.61
1.329,2.85,0.25,1.30,-9.93,-12.61
1.357,2.85,0.25,1.15,-5.09,-9.99
1.383,3.30,0.07,1.07,2.08,-4.54
1.430,3.30,0.07,0.99,1.75,-4.54
1.450,3.74,0.03,1.38,5.05,-0.39
1.493,3.90,0.04,1.26,4.55,-0.39
1.527,3.90,0.04,2.00,4.14,0.53
1.552,2.51,0.54,3.62,-5.82,-0.88
1.598,2.51,0.54,2.66,-3.75,-0.88
1.619,3.01,1.51,10.33,-20.35,-3.08
1.661,10.91,1.40,13.05,-16.87,-3.08
1.696,10.91,1.40,4.69,-16.81,-1.50
1.716,23.88,3.77,25.08,-33.94,2.41
1.766,23.88,3.77,11.97,-30.40,2.41
1.788,34.76,6.78,23.48,-40.72,3.36
1.826,46.53,10.08,27.73,-29.05,6.82
1.876,46.53,10.08,16.78,-25.65,6.82
1.898,55.42,15.39,25.24,-29.39,6.77
1.936,65.02,26.86,30.52,-51.81,5.11
1.981,65.02,26.86,23.14,-47.16,5.11
1.999,70.48,39.22,28.53,-59.58,4.14
