Time(s),Shoulder_Flexion_Deg,Shoulder_Abduction_Deg,Elbow_Flexion_Deg,Elbow_Pronosupination_Deg,Wrist_Flexion_Deg
0.0,3.02,1.44,2.7,0.15,-4.43
0.027,3.03,1.43,2.69,0.23,-4.43
0.05,3.03,1.43,2.69,0.07,-4.49
0.078,3.03,1.43,2.69,0.07,-4.49
0.11,3.03,1.43,2.66,0.09,-4.5
0.132,3.03,1.42,2.66,0.09,-4.5
0.16,3.03,1.42,2.64,0.15,-4.49
0.182,3.03,1.4,2.63,0.18,-4.49
0.213,3.03,1.4,2.63,0.13,-4.45
0.235,3.04,1.41,2.64,0.1,-4.45
0.271,3.04,1.41,2.63,0.18,-4.45
0.295,3.05,1.4,2.63,0.19,-4.45
0.323,3.05,1.4,2.63,0.15,-4.49
0.347,3.04,1.38,2.61,0.15,-4.49
0.379,3.04,1.38,2.64,0.15,-4.49
0.404,3.02,1.32,2.59,0.15,-4.49
0.434,3.02,1.32,2.65,0.13,-4.53
0.456,3.01,1.27,2.61,0.14,-4.53
0.492,3.01,1.27,2.67,0.09,-4.59
0.514,2.99,1.17,2.59,0.13,-4.59
0.555,2.99,1.17,2.7,0.07,-4.62
0.589,2.96,1.11,2.64,0.09,-4.62
0.614,2.96,1.11,2.75,0.0,-4.62
0.64,2.95,1.1,2.73,-0.02,-4.62
0.664,2.95,1.1,2.75,0.04,-4.67
0.685,2.96,1.16,2.8,-0.05,-4.67
0.71,2.96,1.16,2.67,0.15,-4.75
0.733,2.97,1.21,2.72,0.05,-4.75
0.767,2.97,1.21,2.63,0.24,-4.84
0.791,2.99,1.32,2.73,0.09,-4.84
0.821,2.99,1.32,2.49,0.51,-4.92
0.845,2.99,1.41,2.55,0.41,-4.92
0.876,2.99,1.41,2.39,0.8,-4.96
0.9,2.89,1.56,2.43,0.75,-4.96
0.935,2.89,1.56,2.18,1.22,-5.11
0.958,2.69,1.69,2.17,1.18,-5.11
0.987,2.69,1.69,1.99,4.41,-4.69
1.011,2.13,1.84,1.89,4.61,-4.69
1.043,2.13,1.84,1.84,9.59,-3.98
1.065,1.48,1.78,1.53,9.48,-3.98
1.104,1.48,1.78,2.18,16.74,-2.9
1.125,0.36,1.68,1.71,16.74,-2.9
1.15,0.36,1.68,2.45,21.15,-2.48
1.17,0.58,1.43,1.75,21.18,-2.48
1.207,0.58,1.43,3.0,24.23,-2.34
1.229,1.67,1.14,2.14,24.04,-2.34
1.261,1.67,1.14,3.77,27.25,-1.51
1.284,2.37,0.81,3.05,27.32,-1.51
1.316,2.37,0.81,4.63,28.72,-0.98
1.337,2.77,0.55,4.15,28.85,-0.98
1.371,2.77,0.55,5.44,29.99,-0.21
1.393,2.67,0.48,5.49,30.09,-0.21
1.425,2.67,0.48,5.39,30.19,-0.1
1.448,2.3,0.44,5.7,30.54,-0.1
1.482,2.3,0.44,5.18,30.25,-0.23
1.505,1.99,0.48,5.48,30.58,-0.23
1.535,1.99,0.48,4.92,29.82,-0.35
1.558,1.8,0.58,5.14,30.4,-0.35
1.591,1.8,0.58,4.64,29.64,-0.35
1.614,1.7,0.65,4.77,30.05,-0.35
1.645,1.7,0.65,4.46,29.41,-0.33
1.666,1.57,0.59,4.55,29.86,-0.33
1.702,1.57,0.59,4.43,28.83,-0.36
1.724,1.5,0.56,4.48,28.95,-0.36
1.753,1.5,0.56,4.28,28.85,-0.25
1.775,1.55,0.49,4.2,28.94,-0.25
1.809,1.55,0.49,4.28,28.76,-0.33
1.831,1.57,0.47,4.25,28.74,-0.33
1.863,1.57,0.47,4.1,28.94,-0.31
1.886,1.59,0.42,4.05,28.87,-0.31
1.92,1.59,0.42,3.86,29.28,-0.06
1.943,1.61,0.46,3.87,29.31,-0.06
1.974,1.61,0.46,3.19,29.68,0.78
1.995,1.85,0.34,2.92,29.81,0.78
2.03,1.85,0.34,2.37,30.51,2.11
2.052,2.08,0.67,1.93,32.79,2.11
2.084,2.08,0.67,0.79,23.2,-1.04
2.106,1.74,3.64,3.43,27.26,-1.04
2.139,1.74,3.64,5.29,12.72,-5.71
2.164,0.42,10.14,8.73,18.47,-5.71
2.193,0.42,10.14,13.09,4.06,-6.75
2.216,0.16,19.99,16.97,14.57,-6.75
2.25,0.16,19.99,16.69,2.13,-11.21
2.273,1.03,33.29,21.33,18.82,-11.21
2.303,1.03,33.29,18.82,-7.55,-9.97
2.325,2.08,43.49,23.14,3.0,-9.97
2.359,2.08,43.49,20.47,-13.61,-12.01
2.382,2.12,53.56,27.96,-9.51,-12.01
2.413,2.12,53.56,21.87,-13.04,-11.14
2.437,3.16,60.62,27.89,-10.74,-11.14
2.468,3.16,60.62,21.31,-10.97,-13.29
2.49,4.64,66.51,26.9,-9.67,-13.29
2.524,4.64,66.51,20.45,-8.57,-11.67
2.547,4.47,69.44,21.81,-5.91,-11.67
2.578,4.47,69.44,20.52,-9.68,-13.53
2.602,4.02,72.33,21.29,-6.3,-13.53
2.633,4.02,72.33,19.58,-10.57,-13.17
2.657,4.8,72.98,21.8,-12.51,-13.17
2.689,4.8,72.98,17.83,-8.2,-12.64
2.712,6.05,70.47,17.78,-12.05,-12.64
2.742,6.05,70.47,16.31,-3.34,-12.77
2.764,5.55,65.8,12.66,-5.73,-12.77
2.798,5.55,65.8,15.01,1.67,-7.21
2.82,4.2,57.97,8.94,-2.43,-7.21
2.853,4.2,57.97,13.12,5.77,-5.5
2.877,4.63,50.32,7.0,1.63,-5.5
2.907,4.63,50.32,11.44,8.83,0.66
2.929,4.69,41.19,5.72,1.11,0.66
2.964,4.69,41.19,7.93,12.12,-0.12
2.988,3.58,33.0,3.61,2.91,-0.11
3.018,3.58,33.0,5.27,16.05,1.38
3.042,3.84,23.98,1.45,7.49,1.38
3.075,3.84,23.98,4.66,19.32,1.11
3.098,3.15,16.53,0.78,11.08,1.11
3.127,3.15,16.53,2.34,23.61,-0.59
3.148,2.22,9.0,5.68,17.23,-0.59
3.184,2.22,9.0,1.92,27.16,-1.58
3.208,2.05,3.84,4.36,23.93,-1.58
3.239,2.05,3.84,4.41,28.14,-1.75
3.264,1.91,1.5,4.99,25.99,-1.75
3.295,1.91,1.5,4.51,33.03,-5.54
3.318,2.09,2.76,4.81,32.47,-5.54
3.348,2.09,2.76,2.61,31.72,-2.92
3.37,2.24,6.29,5.69,33.38,-2.92
3.403,2.24,6.29,4.06,33.17,-1.91
3.427,1.47,12.48,9.65,37.37,-1.91
3.457,1.47,12.48,9.09,31.83,-2.93
3.481,1.97,21.67,15.03,41.12,-2.93
3.513,1.97,21.67,11.07,24.94,-2.37
3.537,2.95,32.56,17.47,34.68,-2.37
3.567,2.95,32.56,14.53,14.67,-5.65
3.591,3.62,41.87,19.38,22.31,-5.65
3.623,3.62,41.87,16.9,6.83,-9.33
3.646,4.57,52.37,20.82,17.81,-9.33
3.678,4.57,52.37,18.92,-1.78,-9.5
3.701,4.77,60.05,22.54,4.83,-9.5
3.734,4.77,60.05,19.7,-4.67,-13.48
3.759,3.25,67.28,24.74,-0.79,-13.48
3.79,3.25,67.28,20.16,-4.71,-14.69
3.812,1.0,70.92,22.62,-2.45,-14.69
3.845,1.0,70.92,20.49,-6.17,-15.58
3.867,0.68,74.77,23.79,-4.69,-15.58
3.899,0.68,74.77,18.99,-4.8,-15.76
3.924,1.24,75.85,20.46,-5.1,-15.76
3.954,1.24,75.85,17.2,-3.56,-14.35
3.978,2.06,73.41,16.74,-6.65,-14.35
4.01,2.06,73.41,15.82,2.09,-11.96
4.032,2.16,68.7,12.62,-0.93,-11.96
4.065,2.16,68.7,14.79,5.01,-8.66
4.089,2.3,60.01,8.45,-0.1,-8.66
4.121,2.3,60.01,13.42,10.0,-5.19
4.145,2.87,51.62,6.85,5.33,-5.19
4.176,2.87,51.62,9.57,11.56,-3.25
4.199,2.92,41.62,3.49,2.97,-3.25
4.23,2.92,41.62,8.33,10.22,-0.84
4.252,2.24,33.0,3.47,1.2,-0.84
4.285,2.24,33.0,6.41,14.61,0.29
4.306,1.18,23.96,0.65,7.7,0.29
4.339,1.18,23.96,3.26,16.09,-0.03
4.36,1.13,16.92,1.96,8.9,-0.03
4.393,1.13,16.92,2.31,20.84,-0.33
4.416,0.35,10.07,4.97,13.97,-0.33
4.45,0.35,10.07,1.97,25.42,0.72
4.471,0.84,6.06,3.77,21.16,0.72
4.506,0.84,6.06,5.37,24.79,0.27
4.528,1.15,3.1,6.26,21.21,0.27
4.56,1.15,3.1,4.99,32.95,-4.01
4.582,1.17,4.32,5.11,33.04,-4.01
4.616,1.17,4.32,2.69,30.8,0.17
4.639,0.52,9.22,7.24,33.42,0.17
4.671,0.52,9.22,6.07,31.65,2.59
4.692,0.16,15.58,11.18,36.17,2.59
4.725,0.16,15.58,9.96,30.81,-1.35
4.747,0.38,26.79,17.19,42.05,-1.35
4.78,0.38,26.79,13.0,20.36,0.09
4.803,0.39,37.5,19.04,29.42,0.09
4.835,0.39,37.5,14.03,14.25,-6.78
4.858,0.8,45.87,17.73,22.52,-6.78
4.889,0.8,45.87,18.34,7.31,-10.05
4.911,1.27,55.62,22.68,16.52,-10.05
4.945,1.27,55.62,19.69,2.34,-12.66
4.967,1.04,62.44,23.88,6.98,-12.66
5.001,1.04,62.44,20.23,0.25,-15.12
5.024,0.79,67.9,24.5,2.78,-15.12
5.055,0.79,67.9,20.82,1.01,-18.06
5.078,1.8,71.53,23.52,2.94,-18.06
5.111,1.8,71.53,19.74,0.54,-18.2
5.132,4.02,73.64,21.43,1.4,-18.2
5.166,4.02,73.64,17.7,1.21,-18.98
5.188,4.83,72.62,17.79,-0.52,-18.98
5.221,4.83,72.62,15.96,3.64,-18.31
5.244,4.37,67.8,12.68,0.6,-18.31
5.276,4.37,67.8,15.73,5.17,-15.48
5.298,3.09,61.45,10.87,1.84,-15.48
5.332,3.09,61.45,13.04,8.11,-14.4
5.356,3.42,51.91,5.84,2.58,-14.4
5.386,3.42,51.91,12.01,8.08,-8.8
5.408,3.11,40.47,5.79,-1.67,-8.8
5.442,3.11,40.47,11.83,13.04,-4.44
5.465,2.12,32.6,7.68,4.88,-4.44
5.496,2.12,32.6,6.98,17.68,-2.95
5.518,1.32,20.8,6.12,4.86,-2.95
