Time(s),Shoulder_Flexion_Deg,Shoulder_Abduction_Deg,Elbow_Flexion_Deg,Elbow_Pronosupination_Deg,Wrist_Flexion_Deg
0.000,1.04,0.03,0.13,0.42,-0.46
0.017,1.03,0.04,0.14,0.39,-0.43
0.055,1.03,0.04,0.12,0.40,-0.43
0.071,1.02,0.06,0.14,0.56,-0.40
0.110,1.02,0.06,0.12,0.49,-0.40
0.132,1.01,0.04,0.13,0.52,-0.40
0.169,1.01,0.04,0.13,0.48,-0.40
0.180,1.02,0.07,0.17,0.48,-0.38
0.217,1.02,0.07,0.17,0.47,-0.38
0.237,1.01,0.07,0.21,0.67,-0.35
0.275,1.01,0.07,0.20,0.58,-0.35
0.291,1.01,0.07,0.20,0.57,-0.35
0.327,1.01,0.07,0.20,0.52,-0.35
0.346,1.01,0.07,0.23,0.51,-0.34
0.381,1.01,0.07,0.23,0.51,-0.34
0.404,0.98,0.08,0.26,0.54,-0.30
0.442,0.98,0.08,0.24,0.55,-0.30
0.457,0.97,0.10,0.23,0.55,-0.31
0.495,0.97,0.10,0.22,0.56,-0.31
0.514,0.94,0.10,0.36,0.65,-0.32
0.552,0.94,0.10,0.32,0.59,-0.32
0.569,0.92,0.15,0.42,0.74,-0.32
0.606,0.92,0.15,0.41,0.56,-0.32
0.624,0.90,0.11,0.79,0.70,-0.37
0.661,0.90,0.11,0.75,0.50,-0.37
0.678,1.11,0.06,1.77,1.05,-0.61
0.714,1.11,0.06,1.96,0.46,-0.61
0.736,1.23,0.24,4.30,-0.07,-0.93
0.773,1.23,0.24,4.42,-1.11,-0.93
0.790,1.04,0.73,8.90,-2.99,-1.01
0.827,1.04,0.73,8.76,-4.20,-1.01
0.845,0.74,1.18,13.04,-3.69,-0.69
0.880,0.74,1.18,12.81,-4.73,-0.69
0.898,0.43,1.58,18.88,-2.72,0.00
0.937,0.43,1.58,18.66,-3.55,0.03
0.956,0.23,1.69,24.39,-2.85,0.32
0.993,0.23,1.69,24.22,-3.14,0.32
1.009,0.00,1.42,30.86,-1.71,0.52
1.045,0.00,1.42,30.60,-1.85,0.52
1.065,0.33,1.15,39.55,0.35,0.79
1.101,0.33,1.15,39.15,0.05,0.79
1.119,1.16,0.70,47.03,0.50,0.66
1.156,1.16,0.70,46.12,0.25,0.66
1.175,2.04,0.59,54.85,0.63,-0.99
1.213,2.04,0.59,53.97,0.46,-0.99
1.229,2.94,0.81,60.80,-4.75,-2.74
1.268,2.94,0.81,59.98,-4.63,-2.74
1.286,4.03,1.17,67.55,-4.40,-4.33
1.323,4.03,1.17,66.60,-4.04,-4.33
1.340,4.94,1.49,71.62,-3.63,-5.24
1.377,4.94,1.49,70.84,-3.40,-5.24
1.395,5.87,1.69,75.74,-2.40,-6.28
1.432,5.87,1.69,74.91,-2.30,-6.28
1.449,6.39,1.82,77.55,-2.60,-7.43
1.487,6.39,1.82,77.09,-2.54,-7.43
1.506,6.63,1.77,79.20,-2.36,-8.30
1.542,6.63,1.77,78.95,-2.41,-8.30
1.560,6.71,1.69,80.63,-2.09,-9.18
1.597,6.71,1.69,80.52,-2.20,-9.18
1.616,6.77,1.56,81.64,-2.11,-9.75
1.653,6.77,1.56,81.54,-2.23,-9.75
1.670,6.91,1.50,82.77,-1.97,-10.14
1.708,6.91,1.50,82.62,-2.07,-10.14
1.726,7.06,1.50,83.41,-2.83,-10.65
1.762,7.06,1.50,83.27,-2.84,-10.65
1.779,7.19,1.53,83.88,-3.09,-11.07
1.815,7.19,1.53,83.77,-3.05,-11.07
1.837,7.30,1.57,84.30,-2.92,-11.46
1.875,7.30,1.57,84.21,-2.86,-11.46
1.890,7.44,1.77,84.58,-3.84,-11.57
1.927,7.44,1.77,84.51,-3.61,-11.57
1.946,7.80,1.89,85.15,0.24,-11.07
1.983,7.80,1.89,84.86,0.37,-11.07
2.000,8.48,1.97,86.40,7.10,-11.19
2.038,8.48,1.97,85.79,7.17,-11.19
2.057,9.31,2.00,88.04,21.35,-10.61
2.094,9.31,2.00,87.27,21.34,-10.61
2.110,10.52,1.63,88.92,47.14,-6.47
2.147,10.52,1.63,87.65,46.68,-6.47
2.167,11.26,0.95,86.39,69.30,-5.31
2.205,11.26,0.95,85.54,68.56,-5.31
2.222,11.33,0.14,80.80,87.84,-6.25
2.258,11.33,0.14,80.62,87.00,-6.25
2.277,10.99,0.09,77.44,94.46,-7.19
2.313,10.99,0.09,77.76,94.18,-7.19
2.330,10.36,0.62,75.01,98.00,-7.37
2.367,10.36,0.62,75.59,97.53,-7.37
2.388,10.01,0.92,74.91,98.99,-7.36
2.426,10.01,0.92,75.24,98.70,-7.36
2.441,9.90,0.82,75.75,95.96,-6.89
2.478,9.90,0.82,75.87,96.03,-6.89
2.497,9.84,0.06,78.17,84.90,-5.13
2.533,9.84,0.06,78.31,85.61,-5.13
2.551,9.46,1.63,80.81,57.24,-2.21
2.589,9.46,1.63,81.45,58.86,-2.21
2.607,9.08,3.65,82.31,30.70,-2.86
2.643,9.08,3.65,83.13,32.67,-2.86
2.661,8.63,6.01,82.86,-1.95,-4.94
2.698,8.63,6.01,83.96,0.52,-4.94
2.719,8.13,7.34,82.48,-21.37,-8.41
2.758,8.13,7.34,83.41,-19.72,-8.41
2.772,7.30,8.06,79.47,-49.06,-8.30
2.810,7.30,8.06,80.51,-47.81,-8.30
2.828,6.69,8.03,76.68,-57.05,-5.72
2.865,6.69,8.03,77.22,-56.45,-5.72
2.882,6.01,7.75,75.23,-56.95,-4.45
2.918,6.01,7.75,75.72,-56.90,-4.45
