Time(s),Shoulder_Elevation_Deg,Elbow_Flexion_Deg
0.000,24.95,73.18
0.037,24.95,70.36
0.095,18.47,58.08
0.120,16.02,48.85
0.159,14.74,53.25
0.208,14.74,41.44
0.252,14.51,29.55
0.274,14.67,20.23
0.320,14.67,21.91
0.340,13.65,17.04
0.380,12.91,20.02
0.443,12.91,13.37
0.466,12.12,13.46
0.495,12.21,13.45
0.540,12.21,13.23
0.582,12.29,13.58
0.607,12.83,13.21
0.655,14.11,11.28
0.687,14.11,15.61
0.718,14.74,16.63
0.789,15.42,15.73
0.821,15.95,17.32
0.853,15.95,18.70
0.883,16.28,18.20
0.966,16.35,18.53
0.994,16.02,19.21
1.027,16.02,17.88
1.053,15.40,18.11
1.128,14.78,18.90
1.154,14.32,17.19
1.190,14.32,16.22
1.222,14.07,16.20
1.309,13.87,16.49
1.326,13.71,15.75
1.349,13.71,15.26
1.374,13.60,15.32
1.433,13.60,15.16
1.453,13.63,15.30
1.485,13.79,15.08
1.518,13.79,15.57
1.548,13.98,15.70
1.623,14.22,15.35
1.646,14.40,15.92
1.672,14.40,16.41
1.695,14.53,16.24
1.728,14.53,16.59
1.785,14.57,16.56
1.811,14.52,16.72
1.842,14.52,16.54
1.875,14.46,16.64
1.907,14.46,16.44
1.964,14.33,16.50
1.988,14.19,16.30
2.030,14.08,16.45
2.064,14.08,15.85
2.122,13.99,15.82
2.156,13.89,15.73
2.197,13.77,15.92
